Precinct,County,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
Midway,Lincoln,587,114,175,66,0,355,355,
Lincoln Club House,Lincoln,799,89,185,76,1,351,351,
Lincoln Center,Lincoln,1489,201,604,169,0,974,974,
Faith Temple of Lincoln,Lincoln,489,88,139,56,0,283,283,
Tabernacle,Lincoln,1003,159,267,85,0,511,511,
Bethany Church,Lincoln,575,118,187,64,0,369,369,
Martins Crossroad,Lincoln,1234,256,471,119,0,846,846,
