Precinct,County,Registered Voters,Steven Sainz (I) (Rep)_Election Day Votes,Steven Sainz (I) (Rep)_Advanced Voting Votes,Steven Sainz (I) (Rep)_Absentee by Mail Votes,Steven Sainz (I) (Rep)_Provisional Votes,Steven Sainz (I) (Rep)_Choice Total,Total,
American Legion,Charlton,748,6,16,1,0,23,23,
Racepond,Charlton,266,66,108,19,1,194,194,
Winokur,Charlton,317,93,91,23,0,207,207,
