Precinct,County,Registered Voters,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_Choice Total,Total,
Folkston,Charlton,2420,227,600,173,0,1000,1000,
GA Bend,Charlton,509,224,59,42,0,325,325,
St George,Charlton,661,215,135,52,1,403,403,
American Legion,Charlton,748,128,329,65,0,522,522,
Homeland,Charlton,864,164,337,52,0,553,553,
Folkston Fire,Charlton,767,77,369,56,0,502,502,
