Precinct,County,Registered Voters,Debra Godwin Duncan (I) (Rep)_Election Day Votes,Debra Godwin Duncan (I) (Rep)_Advanced Voting Votes,Debra Godwin Duncan (I) (Rep)_Absentee by Mail Votes,Debra Godwin Duncan (I) (Rep)_Provisional Votes,Debra Godwin Duncan (I) (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,465,1627,457,2,2551,2551,
Brookman,Glynn,3460,433,1238,281,3,1955,1955,
Satilla Marshes,Glynn,2824,339,1033,288,0,1660,1660,
Blythe Island Baptist,Glynn,2529,292,1032,269,2,1595,1595,
Christian Renewal,Glynn,3699,301,1588,541,3,2433,2433,
Hampton River,Glynn,2823,230,1287,440,2,1959,1959,
St William Catholic Church,Glynn,4333,306,1993,559,2,2860,2860,
First Baptist,Glynn,4316,321,1838,565,2,2726,2726,
Jekyll Island,Glynn,774,223,101,105,2,431,431,
Sterling Church of God,Glynn,3925,446,1290,315,4,2055,2055,
SE Baptist Bldg,Glynn,2109,249,671,177,1,1098,1098,
Career Academy,Glynn,2960,354,980,328,3,1665,1665,
C B Greer School,Glynn,3288,354,1122,346,2,1824,1824,
Ballard,Glynn,3286,258,983,343,4,1588,1588,
Northside Baptist,Glynn,3313,279,691,336,0,1306,1306,
The Chapel,Glynn,2971,196,602,254,1,1053,1053,
College Place UMC,Glynn,2367,176,531,236,0,943,943,
Howard Coffin Park,Glynn,3320,243,582,281,2,1108,1108,
Urbana-Perry Parks,Glynn,3638,213,376,237,1,827,827,
Selden Park,Glynn,1439,89,211,96,2,398,398,
