Precinct,County,Registered Voters,John Madala (I) (Rep)_Election Day Votes,John Madala (I) (Rep)_Advanced Voting Votes,John Madala (I) (Rep)_Absentee by Mail Votes,John Madala (I) (Rep)_Provisional Votes,John Madala (I) (Rep)_Choice Total,Total,
Sterling Church of God,Glynn,3925,446,1293,300,2,2041,2041,
SE Baptist Bldg,Glynn,2109,250,669,172,1,1092,1092,
Career Academy,Glynn,2960,351,973,317,1,1642,1642,
C B Greer School,Glynn,3288,353,1112,333,1,1799,1799,
