Precinct,County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,464,1610,433,2,2509,2509,
Brookman,Glynn,3460,434,1218,265,3,1920,1920,
Satilla Marshes,Glynn,2824,347,1009,273,0,1629,1629,
Blythe Island Baptist,Glynn,2529,281,1022,255,2,1560,1560,
Christian Renewal,Glynn,3699,306,1561,519,2,2388,2388,
Hampton River,Glynn,2823,223,1269,411,2,1905,1905,
St William Catholic Church,Glynn,4333,309,1962,539,2,2812,2812,
First Baptist,Glynn,4316,317,1823,549,1,2690,2690,
Jekyll Island,Glynn,774,226,97,98,2,423,423,
Sterling Church of God,Glynn,3925,446,1278,297,4,2025,2025,
SE Baptist Bldg,Glynn,2109,240,654,167,1,1062,1062,
Career Academy,Glynn,2960,348,961,314,3,1626,1626,
C B Greer School,Glynn,3288,353,1103,323,2,1781,1781,
Ballard,Glynn,3286,259,951,323,4,1537,1537,
Northside Baptist,Glynn,3313,274,658,295,0,1227,1227,
The Chapel,Glynn,2971,192,575,232,2,1001,1001,
College Place UMC,Glynn,2367,169,505,212,0,886,886,
Howard Coffin Park,Glynn,3320,236,554,239,1,1030,1030,
Urbana-Perry Parks,Glynn,3638,188,348,187,1,724,724,
Selden Park,Glynn,1439,93,201,79,2,375,375,
