Precinct,County,Registered Voters,E. Neal Jump (I) (Rep)_Election Day Votes,E. Neal Jump (I) (Rep)_Advanced Voting Votes,E. Neal Jump (I) (Rep)_Absentee by Mail Votes,E. Neal Jump (I) (Rep)_Provisional Votes,E. Neal Jump (I) (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,475,1668,476,2,2621,2621,
Brookman,Glynn,3460,436,1282,292,3,2013,2013,
Satilla Marshes,Glynn,2824,343,1059,291,0,1693,1693,
Blythe Island Baptist,Glynn,2529,296,1047,267,2,1612,1612,
Christian Renewal,Glynn,3699,306,1606,540,3,2455,2455,
Hampton River,Glynn,2823,228,1295,438,2,1963,1963,
St William Catholic Church,Glynn,4333,312,2013,566,2,2893,2893,
First Baptist,Glynn,4316,329,1857,568,2,2756,2756,
Jekyll Island,Glynn,774,231,105,101,2,439,439,
Sterling Church of God,Glynn,3925,454,1327,314,3,2098,2098,
SE Baptist Bldg,Glynn,2109,254,678,179,2,1113,1113,
Career Academy,Glynn,2960,363,1006,340,3,1712,1712,
C B Greer School,Glynn,3288,360,1150,352,3,1865,1865,
Ballard,Glynn,3286,263,1017,346,4,1630,1630,
Northside Baptist,Glynn,3313,299,721,346,0,1366,1366,
The Chapel,Glynn,2971,210,639,265,0,1114,1114,
College Place UMC,Glynn,2367,177,556,245,1,979,979,
Howard Coffin Park,Glynn,3320,251,610,291,0,1152,1152,
Urbana-Perry Parks,Glynn,3638,230,413,248,1,892,892,
Selden Park,Glynn,1439,96,226,94,2,418,418,
