Precinct,County,Registered Voters,"Ronald M. """"Ron"""" Adams (I) (Rep)_Election Day Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Advanced Voting Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Absentee by Mail Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Provisional Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Choice Total",Total,
Sterling Elementary,Glynn,4578,465,1630,450,2,2547,2547,
Brookman,Glynn,3460,435,1241,291,3,1970,1970,
Satilla Marshes,Glynn,2824,338,1035,294,0,1667,1667,
Blythe Island Baptist,Glynn,2529,289,1043,268,2,1602,1602,
Christian Renewal,Glynn,3699,305,1593,545,3,2446,2446,
Hampton River,Glynn,2823,229,1285,444,2,1960,1960,
St William Catholic Church,Glynn,4333,305,2002,570,2,2879,2879,
First Baptist,Glynn,4316,324,1857,581,2,2764,2764,
Jekyll Island,Glynn,774,224,102,109,2,437,437,
Sterling Church of God,Glynn,3925,450,1298,314,3,2065,2065,
SE Baptist Bldg,Glynn,2109,252,667,178,1,1098,1098,
Career Academy,Glynn,2960,352,985,335,3,1675,1675,
C B Greer School,Glynn,3288,355,1133,349,2,1839,1839,
Ballard,Glynn,3286,261,983,343,3,1590,1590,
Northside Baptist,Glynn,3313,279,690,334,0,1303,1303,
The Chapel,Glynn,2971,198,595,257,1,1051,1051,
College Place UMC,Glynn,2367,172,525,235,0,932,932,
Howard Coffin Park,Glynn,3320,247,582,276,1,1106,1106,
Urbana-Perry Parks,Glynn,3638,220,380,225,1,826,826,
Selden Park,Glynn,1439,91,209,97,2,399,399,
