Precinct,County,Registered Voters,Samuel Tostensen (Rep)_Election Day Votes,Samuel Tostensen (Rep)_Advanced Voting Votes,Samuel Tostensen (Rep)_Absentee by Mail Votes,Samuel Tostensen (Rep)_Provisional Votes,Samuel Tostensen (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,466,1636,452,1,2555,2555,
Brookman,Glynn,3460,440,1249,278,2,1969,1969,
Satilla Marshes,Glynn,2824,344,1029,283,0,1656,1656,
Blythe Island Baptist,Glynn,2529,294,1040,262,1,1597,1597,
