Precinct,County,Registered Voters,Wallace Harrell (I) (Rep)_Election Day Votes,Wallace Harrell (I) (Rep)_Advanced Voting Votes,Wallace Harrell (I) (Rep)_Absentee by Mail Votes,Wallace Harrell (I) (Rep)_Provisional Votes,Wallace Harrell (I) (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,470,1631,449,2,2552,2552,
Brookman,Glynn,3460,437,1239,283,3,1962,1962,
Satilla Marshes,Glynn,2824,344,1035,283,0,1662,1662,
Blythe Island Baptist,Glynn,2529,291,1033,263,2,1589,1589,
Christian Renewal,Glynn,3699,306,1597,543,3,2449,2449,
Hampton River,Glynn,2823,232,1294,430,2,1958,1958,
St William Catholic Church,Glynn,4333,308,2014,561,2,2885,2885,
First Baptist,Glynn,4316,328,1860,557,1,2746,2746,
Jekyll Island,Glynn,774,221,105,100,2,428,428,
Sterling Church of God,Glynn,3925,445,1300,304,2,2051,2051,
SE Baptist Bldg,Glynn,2109,250,666,176,1,1093,1093,
Career Academy,Glynn,2960,354,982,327,3,1666,1666,
C B Greer School,Glynn,3288,350,1116,343,2,1811,1811,
Ballard,Glynn,3286,263,990,335,4,1592,1592,
Northside Baptist,Glynn,3313,282,693,334,0,1309,1309,
The Chapel,Glynn,2971,199,590,245,2,1036,1036,
College Place UMC,Glynn,2367,172,520,232,0,924,924,
Howard Coffin Park,Glynn,3320,245,577,272,0,1094,1094,
Urbana-Perry Parks,Glynn,3638,201,368,217,1,787,787,
Selden Park,Glynn,1439,90,206,83,2,381,381,
