Precinct,County,Registered Voters,Leigh E. Patterson (I) (Rep)_Election Day Votes,Leigh E. Patterson (I) (Rep)_Advanced Voting Votes,Leigh E. Patterson (I) (Rep)_Absentee by Mail Votes,Leigh E. Patterson (I) (Rep)_Provisional Votes,Leigh E. Patterson (I) (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,380,1266,406,9,2061,2061,
Armuchee,Floyd,1269,288,417,125,2,832,832,
Barkers,Floyd,2355,417,986,218,6,1627,1627,
Cave Spring,Floyd,1617,457,358,170,2,987,987,
Chulio,Floyd,1155,294,357,117,11,779,779,
Etowah,Floyd,4946,628,2075,529,8,3240,3240,
Everett Springs,Floyd,421,181,77,39,3,300,300,
Floyd Springs,Floyd,1666,414,606,162,23,1205,1205,
Fosters Mill,Floyd,971,288,287,76,0,651,651,
Garden Lakes,Floyd,2261,268,729,249,6,1252,1252,
Glenwood,Floyd,3635,564,1163,366,1,2094,2094,
Howell,Floyd,1492,419,438,137,1,995,995,
East Lindale,Floyd,3398,490,1219,352,2,2063,2063,
Mt Alto North,Floyd,5096,413,1586,510,11,2520,2520,
Mt Alto South,Floyd,3923,435,1178,400,5,2018,2018,
North Carolina,Floyd,1865,293,620,157,4,1074,1074,
Riverside,Floyd,826,168,244,63,4,479,479,
East Rome,Floyd,4238,368,1148,435,4,1955,1955,
North Rome,Floyd,3369,232,877,471,7,1587,1587,
South Rome,Floyd,1600,116,267,139,3,525,525,
Texas Valley,Floyd,762,264,228,76,6,574,574,
Vanns Valley,Floyd,896,159,222,97,3,481,481,
Watters,Floyd,3566,702,1282,322,10,2316,2316,
West Lindale,Floyd,2929,519,916,250,0,1685,1685,
Town Rome,Floyd,3034,251,890,346,2,1489,1489,
