Precinct,County,Registered Voters,Mitchell Scoggins (I) (Rep)_Election Day Votes,Mitchell Scoggins (I) (Rep)_Advanced Voting Votes,Mitchell Scoggins (I) (Rep)_Absentee by Mail Votes,Mitchell Scoggins (I) (Rep)_Provisional Votes,Mitchell Scoggins (I) (Rep)_Choice Total,Total,
Barkers,Floyd,2355,420,985,214,6,1625,1625,
Chulio,Floyd,1155,299,362,112,10,783,783,
Etowah,Floyd,4946,640,2096,532,6,3274,3274,
Howell,Floyd,1492,432,439,136,1,1008,1008,
North Rome,Floyd,3369,14,125,29,4,172,172,
