index,County,Precinct,Registered Voters,Will Bowman (Dem)_Election Day Votes,Will Bowman (Dem)_Advanced Voting Votes,Will Bowman (Dem)_Absentee by Mail Votes,Will Bowman (Dem)_Provisional Votes,Will Bowman (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,108,377,211,0,696,696,
1,Liberty,Lyman Hall School,4542,381,1166,660,0,2207,2207,
2,Liberty,Lewis Frasier School,4317,301,1462,704,0,2467,2467,
3,Liberty,Memorial Dr East,1976,148,504,318,2,972,972,
4,Liberty,Button Gwinnett,2304,128,201,127,0,456,456,
5,Liberty,Town of Allenhurst,2398,218,853,384,0,1455,1455,
6,Liberty,Hinesville,1984,132,543,266,0,941,941,
7,Liberty,Liberty County Complex,4379,268,1462,607,0,2337,2337,
8,Liberty,Walthourville,3016,222,981,397,0,1600,1600,
9,Liberty,Fleming West,505,56,151,95,0,302,302,
10,Liberty,Fleming East,3239,294,863,317,0,1474,1474,
11,Liberty,Gum Branch,3193,270,790,375,1,1436,1436,
12,Liberty,Hinesville Lodge 271,2646,240,743,421,0,1404,1404,
