index,County,Precinct,Registered Voters,Donald L. Lovette (I) (Dem)_Election Day Votes,Donald L. Lovette (I) (Dem)_Advanced Voting Votes,Donald L. Lovette (I) (Dem)_Absentee by Mail Votes,Donald L. Lovette (I) (Dem)_Provisional Votes,Donald L. Lovette (I) (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,104,387,205,0,696,696,
1,Liberty,Lyman Hall School,4542,383,1162,668,0,2213,2213,
2,Liberty,Lewis Frasier School,4317,302,1438,700,0,2440,2440,
3,Liberty,Memorial Dr East,1976,140,499,313,3,955,955,
4,Liberty,Button Gwinnett,2304,130,201,125,0,456,456,
5,Liberty,Town of Allenhurst,2398,217,840,383,0,1440,1440,
6,Liberty,Hinesville,1984,135,548,270,0,953,953,
7,Liberty,Liberty County Complex,4379,267,1487,617,0,2371,2371,
8,Liberty,Walthourville,3016,219,971,396,0,1586,1586,
9,Liberty,Fleming West,505,57,153,98,0,308,308,
10,Liberty,Fleming East,3239,305,879,320,1,1505,1505,
11,Liberty,Gum Branch,3193,266,775,376,1,1418,1418,
12,Liberty,Hinesville Lodge 271,2646,239,739,420,0,1398,1398,
