index,County,Precinct,Registered Voters,"Reginald L. Pierce, Sr. (I) (Dem)_Election Day Votes","Reginald L. Pierce, Sr. (I) (Dem)_Advanced Voting Votes","Reginald L. Pierce, Sr. (I) (Dem)_Absentee by Mail Votes","Reginald L. Pierce, Sr. (I) (Dem)_Provisional Votes","Reginald L. Pierce, Sr. (I) (Dem)_Choice Total",Total,
0,Liberty,Riceboro Youth Center,1083,111,391,211,0,713,713,
1,Liberty,Lyman Hall School,4542,375,1162,668,0,2205,2205,
2,Liberty,Lewis Frasier School,4317,299,1444,721,0,2464,2464,
3,Liberty,Memorial Dr East,1976,143,499,314,3,959,959,
4,Liberty,Button Gwinnett,2304,132,204,128,0,464,464,
5,Liberty,Town of Allenhurst,2398,214,852,384,0,1450,1450,
6,Liberty,Hinesville,1984,137,544,274,0,955,955,
7,Liberty,Liberty County Complex,4379,271,1530,622,0,2423,2423,
8,Liberty,Walthourville,3016,220,967,399,0,1586,1586,
9,Liberty,Fleming West,505,58,159,103,0,320,320,
10,Liberty,Fleming East,3239,301,888,329,1,1519,1519,
11,Liberty,Gum Branch,3193,261,803,382,1,1447,1447,
12,Liberty,Hinesville Lodge 271,2646,242,733,430,0,1405,1405,
