index,County,Precinct,Registered Voters,Mark A. Hendrix (I) (Rep)_Election Day Votes,Mark A. Hendrix (I) (Rep)_Advanced Voting Votes,Mark A. Hendrix (I) (Rep)_Absentee by Mail Votes,Mark A. Hendrix (I) (Rep)_Provisional Votes,Mark A. Hendrix (I) (Rep)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,81,248,99,0,428,428,
1,Liberty,Lyman Hall School,4542,321,840,410,1,1572,1572,
2,Liberty,Lewis Frasier School,4317,280,1216,468,0,1964,1964,
3,Liberty,Memorial Dr East,1976,117,370,194,2,683,683,
4,Liberty,Button Gwinnett,2304,132,199,104,0,435,435,
5,Liberty,Town of Allenhurst,2398,196,616,256,0,1068,1068,
6,Liberty,Hinesville,1984,135,492,189,0,816,816,
7,Liberty,Liberty County Complex,4379,301,1413,367,0,2081,2081,
8,Liberty,Walthourville,3016,193,730,267,0,1190,1190,
9,Liberty,Fleming West,505,50,121,49,0,220,220,
10,Liberty,Fleming East,3239,393,1085,294,1,1773,1773,
11,Liberty,Gum Branch,3193,315,725,259,0,1299,1299,
12,Liberty,Hinesville Lodge 271,2646,214,538,284,0,1036,1036,
