index,County,Precinct,Registered Voters,Virgil M. Jones (I) (Dem)_Election Day Votes,Virgil M. Jones (I) (Dem)_Advanced Voting Votes,Virgil M. Jones (I) (Dem)_Absentee by Mail Votes,Virgil M. Jones (I) (Dem)_Provisional Votes,Virgil M. Jones (I) (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,107,400,213,0,720,720,
1,Liberty,Lyman Hall School,4542,381,1181,670,0,2232,2232,
2,Liberty,Lewis Frasier School,4317,302,1458,724,0,2484,2484,
3,Liberty,Memorial Dr East,1976,142,504,317,3,966,966,
4,Liberty,Button Gwinnett,2304,130,203,126,0,459,459,
5,Liberty,Town of Allenhurst,2398,213,855,386,0,1454,1454,
6,Liberty,Hinesville,1984,142,550,273,0,965,965,
7,Liberty,Liberty County Complex,4379,273,1539,633,0,2445,2445,
8,Liberty,Walthourville,3016,221,977,403,0,1601,1601,
9,Liberty,Fleming West,505,57,159,101,0,317,317,
10,Liberty,Fleming East,3239,314,919,338,1,1572,1572,
11,Liberty,Gum Branch,3193,269,797,382,1,1449,1449,
12,Liberty,Hinesville Lodge 271,2646,247,743,428,0,1418,1418,
