index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,30,108,21,0,159,101,319,200,0,620,2,6,2,0,10,789,
1,Liberty,Lyman Hall School,4542,126,343,115,1,585,268,915,561,0,1744,32,43,22,0,97,2426,
2,Liberty,Lewis Frasier School,4317,150,658,197,0,1005,204,1007,581,0,1792,12,31,22,0,65,2862,
3,Liberty,Memorial Dr East,1976,45,128,50,1,224,108,416,273,2,799,12,11,10,0,33,1056,
4,Liberty,Button Gwinnett,2304,76,90,39,0,205,72,134,95,0,301,10,14,16,0,40,546,
5,Liberty,Town of Allenhurst,2398,85,225,78,0,388,157,701,337,0,1195,9,19,12,0,40,1623,
6,Liberty,Hinesville,1984,77,339,99,0,515,86,328,191,0,605,9,15,15,0,39,1159,
7,Liberty,Liberty County Complex,4379,214,990,161,0,1365,132,926,534,0,1592,11,32,17,0,60,3017,
8,Liberty,Walthourville,3016,89,265,72,0,426,150,790,345,0,1285,20,20,15,0,55,1766,
9,Liberty,Fleming West,505,27,51,16,0,94,39,122,90,0,251,1,2,1,0,4,349,
10,Liberty,Fleming East,3239,347,954,193,1,1495,88,324,211,0,623,13,23,12,0,48,2166,
11,Liberty,Gum Branch,3193,261,486,115,0,862,102,459,297,1,859,15,27,15,0,57,1778,
12,Liberty,Hinesville Lodge 271,2646,97,229,94,0,420,161,564,347,0,1072,16,31,15,0,62,1554,
