Precinct,County,Registered Voters,Rosemary M. Greene (I) (Rep)_Election Day Votes,Rosemary M. Greene (I) (Rep)_Advanced Voting Votes,Rosemary M. Greene (I) (Rep)_Absentee by Mail Votes,Rosemary M. Greene (I) (Rep)_Provisional Votes,Rosemary M. Greene (I) (Rep)_Choice Total,Total,
Sugar Valley,Gordon,1471,431,368,110,1,910,910,
Plainville,Gordon,2044,547,464,158,3,1172,1172,
Sonoraville,Gordon,5380,1167,1736,441,1,3345,3345,
Pine Chapel,Gordon,1071,320,265,69,0,654,654,
Oostanaula,Gordon,667,222,123,73,0,418,418,
Oakman,Gordon,1439,444,255,96,0,795,795,
Gordon County,Gordon,6423,900,2021,542,1,3464,3464,
Calhoun City,Gordon,9532,1128,2985,887,2,5002,5002,
Lily Pond,Gordon,1914,369,596,164,0,1129,1129,
Fairmount,Gordon,1991,684,350,183,2,1219,1219,
Red Bud,Gordon,2965,653,937,182,1,1773,1773,
Resaca,Gordon,1532,408,341,115,0,864,864,
