Precinct,County,Registered Voters,James Carver (I) (Rep)_Election Day Votes,James Carver (I) (Rep)_Advanced Voting Votes,James Carver (I) (Rep)_Absentee by Mail Votes,James Carver (I) (Rep)_Provisional Votes,James Carver (I) (Rep)_Choice Total,Total,
Sugar Valley,Gordon,1471,435,367,110,1,913,913,
Plainville,Gordon,2044,549,475,161,3,1188,1188,
Sonoraville,Gordon,5380,1189,1745,443,1,3378,3378,
Pine Chapel,Gordon,1071,323,267,65,0,655,655,
Oostanaula,Gordon,667,227,127,75,0,429,429,
Oakman,Gordon,1439,448,255,98,0,801,801,
Gordon County,Gordon,6423,902,2048,560,1,3511,3511,
Calhoun City,Gordon,9532,1143,3028,894,2,5067,5067,
Lily Pond,Gordon,1914,377,597,168,0,1142,1142,
Fairmount,Gordon,1991,701,355,181,2,1239,1239,
Red Bud,Gordon,2965,663,956,190,1,1810,1810,
Resaca,Gordon,1532,416,344,122,0,882,882,
