Precinct,County,Registered Voters,Jason Hendrix (I) (Rep)_Election Day Votes,Jason Hendrix (I) (Rep)_Advanced Voting Votes,Jason Hendrix (I) (Rep)_Absentee by Mail Votes,Jason Hendrix (I) (Rep)_Provisional Votes,Jason Hendrix (I) (Rep)_Choice Total,Total,
Sugar Valley,Gordon,1471,428,362,100,1,891,891,
Plainville,Gordon,2044,534,473,163,3,1173,1173,
Sonoraville,Gordon,5380,1171,1723,435,0,3329,3329,
Pine Chapel,Gordon,1071,319,261,67,0,647,647,
Oostanaula,Gordon,667,226,124,74,0,424,424,
Oakman,Gordon,1439,445,255,97,0,797,797,
Gordon County,Gordon,6423,886,2027,526,0,3439,3439,
Lily Pond,Gordon,1914,365,600,163,0,1128,1128,
Fairmount,Gordon,1991,697,355,177,2,1231,1231,
Red Bud,Gordon,2965,655,936,179,1,1771,1771,
Resaca,Gordon,1532,409,336,116,0,861,861,
