Precinct,County,Registered Voters,Christie Owens Fox (Rep)_Election Day Votes,Christie Owens Fox (Rep)_Advanced Voting Votes,Christie Owens Fox (Rep)_Absentee by Mail Votes,Christie Owens Fox (Rep)_Provisional Votes,Christie Owens Fox (Rep)_Choice Total,Total,
Sugar Valley,Gordon,1471,432,363,103,1,899,899,
Plainville,Gordon,2044,540,473,161,3,1177,1177,
Sonoraville,Gordon,5380,1177,1738,434,0,3349,3349,
Pine Chapel,Gordon,1071,322,266,62,0,650,650,
Oostanaula,Gordon,667,226,125,74,0,425,425,
Oakman,Gordon,1439,451,257,99,0,807,807,
Gordon County,Gordon,6423,909,2046,532,0,3487,3487,
Lily Pond,Gordon,1914,373,598,162,0,1133,1133,
Fairmount,Gordon,1991,697,356,180,2,1235,1235,
Red Bud,Gordon,2965,657,950,178,1,1786,1786,
Resaca,Gordon,1532,411,338,116,1,866,866,
