Precinct,County,Registered Voters,Lee D. Moss (I) (Rep)_Election Day Votes,Lee D. Moss (I) (Rep)_Advanced Voting Votes,Lee D. Moss (I) (Rep)_Absentee by Mail Votes,Lee D. Moss (I) (Rep)_Provisional Votes,Lee D. Moss (I) (Rep)_Choice Total,Total,
Midway,Lincoln,587,122,177,71,0,370,370,
Lincoln Club House,Lincoln,799,107,206,110,2,425,425,
Lincoln Center,Lincoln,1489,201,586,171,0,958,958,
Faith Temple of Lincoln,Lincoln,489,96,160,62,0,318,318,
Tabernacle,Lincoln,1003,172,286,111,0,569,569,
Bethany Church,Lincoln,575,120,184,67,0,371,371,
Martins Crossroad,Lincoln,1234,253,479,139,1,872,872,
