Precinct,County,Registered Voters,Paul C. Reviere (I) (Rep)_Election Day Votes,Paul C. Reviere (I) (Rep)_Advanced Voting Votes,Paul C. Reviere (I) (Rep)_Absentee by Mail Votes,Paul C. Reviere (I) (Rep)_Provisional Votes,Paul C. Reviere (I) (Rep)_Choice Total,Total,
Midway,Lincoln,587,120,176,77,0,373,373,
Lincoln Club House,Lincoln,799,105,212,113,2,432,432,
Lincoln Center,Lincoln,1489,207,598,176,0,981,981,
Faith Temple of Lincoln,Lincoln,489,94,159,64,0,317,317,
Tabernacle,Lincoln,1003,170,287,107,0,564,564,
Bethany Church,Lincoln,575,123,186,67,0,376,376,
Martins Crossroad,Lincoln,1234,248,477,139,1,865,865,
