Precinct,County,Registered Voters,Walker T. Norman (I) (Rep)_Election Day Votes,Walker T. Norman (I) (Rep)_Advanced Voting Votes,Walker T. Norman (I) (Rep)_Absentee by Mail Votes,Walker T. Norman (I) (Rep)_Provisional Votes,Walker T. Norman (I) (Rep)_Choice Total,Total,
Midway,Lincoln,587,114,166,69,0,349,349,
Lincoln Club House,Lincoln,799,101,201,106,2,410,410,
Lincoln Center,Lincoln,1489,199,566,163,0,928,928,
Faith Temple of Lincoln,Lincoln,489,89,151,65,0,305,305,
Tabernacle,Lincoln,1003,159,274,102,0,535,535,
Bethany Church,Lincoln,575,103,173,61,0,337,337,
Martins Crossroad,Lincoln,1234,244,451,133,1,829,829,
