Precinct,County,Registered Voters,Tim Quarles (Rep)_Election Day Votes,Tim Quarles (Rep)_Advanced Voting Votes,Tim Quarles (Rep)_Absentee by Mail Votes,Tim Quarles (Rep)_Provisional Votes,Tim Quarles (Rep)_Choice Total,Total,
Midway,Lincoln,587,118,179,68,0,365,365,
Lincoln Club House,Lincoln,799,104,202,97,2,405,405,
Lincoln Center,Lincoln,1489,207,589,176,0,972,972,
Faith Temple of Lincoln,Lincoln,489,94,152,64,0,310,310,
Tabernacle,Lincoln,1003,166,272,94,0,532,532,
Bethany Church,Lincoln,575,120,184,67,0,371,371,
Martins Crossroad,Lincoln,1234,253,481,138,1,873,873,
