Precinct,County,Registered Voters,Amanda Doss (I) (Rep)_Election Day Votes,Amanda Doss (I) (Rep)_Advanced Voting Votes,Amanda Doss (I) (Rep)_Absentee by Mail Votes,Amanda Doss (I) (Rep)_Provisional Votes,Amanda Doss (I) (Rep)_Choice Total,Total,
Midway,Lincoln,587,118,176,73,0,367,367,
Lincoln Club House,Lincoln,799,104,206,99,2,411,411,
Lincoln Center,Lincoln,1489,209,607,175,0,991,991,
Faith Temple of Lincoln,Lincoln,489,92,153,63,0,308,308,
Tabernacle,Lincoln,1003,168,284,106,0,558,558,
Bethany Church,Lincoln,575,124,190,65,0,379,379,
Martins Crossroad,Lincoln,1234,257,489,140,1,887,887,
