Precinct,County,Registered Voters,Alicia Hester (I) (Dem)_Election Day Votes,Alicia Hester (I) (Dem)_Advanced Voting Votes,Alicia Hester (I) (Dem)_Absentee by Mail Votes,Alicia Hester (I) (Dem)_Provisional Votes,Alicia Hester (I) (Dem)_Choice Total,Total,
Barwick,Thomas,630,129,203,55,0,387,387,
Boston,Thomas,1632,236,543,218,0,997,997,
Central,Thomas,3523,234,1498,418,0,2150,2150,
Coolidge,Thomas,983,225,272,86,0,583,583,
Douglass,Thomas,2448,262,805,281,0,1348,1348,
LIttle Ochlocknee Baptist Church1132,Thomas,183,475,101,0,759,759,,
Fire Station #2,Thomas,1404,123,611,191,0,925,925,
Gatlin Creek,Thomas,2069,217,873,225,0,1315,1315,
Harper,Thomas,2001,176,681,326,0,1183,1183,
Jerger,Thomas,1898,148,822,281,0,1251,1251,
Meigs,Thomas,864,243,183,75,1,502,502,
Metcalfe,Thomas,299,74,75,35,0,184,184,
New Covenant,Thomas,2155,230,866,221,0,1317,1317,
Ochlocknee,Thomas,1175,242,343,59,1,645,645,
Pavo,Thomas,673,168,158,70,0,396,396,
Remington Esc,Thomas,2190,203,872,299,0,1374,1374,
Resource Center,Thomas,1363,140,453,244,0,837,837,
Scott,Thomas,2491,171,1156,331,2,1660,1660,
Merrillville,Thomas,701,65,282,77,0,424,424,
Patten,Thomas,397,79,148,28,0,255,255,
