Precinct,County,Registered Voters,Zippy Vonier (Rep)_Election Day Votes,Zippy Vonier (Rep)_Advanced Voting Votes,Zippy Vonier (Rep)_Absentee by Mail Votes,Zippy Vonier (Rep)_Provisional Votes,Zippy Vonier (Rep)_Choice Total,Total,
Central,Thomas,3523,181,1155,269,0,1605,1605,
Gatlin Creek,Thomas,2069,117,485,91,0,693,693,
New Covenant,Thomas,2155,53,133,28,0,214,214,
Remington Esc,Thomas,2190,17,117,35,0,169,169,
Scott,Thomas,2491,1,15,5,0,21,21,
