Precinct,County,Registered Voters,Mark A. NeSmith (I) (Rep)_Election Day Votes,Mark A. NeSmith (I) (Rep)_Advanced Voting Votes,Mark A. NeSmith (I) (Rep)_Absentee by Mail Votes,Mark A. NeSmith (I) (Rep)_Provisional Votes,Mark A. NeSmith (I) (Rep)_Choice Total,Total,
Central,Thomas,3523,59,361,48,1,469,469,
Coolidge,Thomas,983,234,301,76,0,611,611,
New Covenant,Thomas,2155,57,259,67,0,383,383,
Pavo,Thomas,673,162,164,48,0,374,374,
Merrillville,Thomas,701,67,302,49,0,418,418,
Patten,Thomas,397,45,79,14,0,138,138,
