Precinct,County,Registered Voters,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_Choice Total,Total,
Fort Valley 1,Peach,2669,225,853,346,1,1425,1425,
Fort Valley 2,Peach,2670,211,744,317,1,1273,1273,
Fort Valley 3,Peach,2720,222,792,470,2,1486,1486,
