Precinct,County,Registered Voters,"Alfred """"Big Al"""" Ellis (Dem)_Election Day Votes","Alfred """"Big Al"""" Ellis (Dem)_Advanced Voting Votes","Alfred """"Big Al"""" Ellis (Dem)_Absentee by Mail Votes","Alfred """"Big Al"""" Ellis (Dem)_Provisional Votes","Alfred """"Big Al"""" Ellis (Dem)_Choice Total",Total,
Claude,Peach,908,44,78,18,0,140,140,
Fort Valley 1,Peach,2669,48,148,71,1,268,268,
Fort Valley 2,Peach,2670,43,173,36,1,253,253,
Fort Valley 3,Peach,2720,127,542,333,0,1002,1002,
