Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
HARBINS A,Gwinnett,7182,338,1487,483,1,2309,306,1512,839,4,2661,57,73,39,2,171,5141,
ROCKBRIDGE A,Gwinnett,3987,98,271,152,0,521,247,1250,625,1,2123,16,23,22,0,61,2705,
DACULA,Gwinnett,4777,233,884,241,1,1359,221,1058,591,0,1870,28,71,17,1,117,3346,
SUWANEE A,Gwinnett,1737,111,291,134,1,537,94,358,187,0,639,10,24,12,0,46,1222,
BAYCREEK A,Gwinnett,2720,240,543,303,0,1086,119,476,350,0,945,21,27,18,0,66,2097,
GOODWINS A,Gwinnett,3921,266,545,231,1,1043,242,757,513,1,1513,36,46,28,0,110,2666,
DULUTH A,Gwinnett,5042,229,871,434,1,1535,192,964,877,1,2034,33,79,53,0,165,3734,
DUNCANS A,Gwinnett,4729,344,1515,465,2,2326,113,696,462,0,1271,23,58,24,0,105,3702,
PUCKETTS A,Gwinnett,5692,305,1926,637,1,2869,132,778,463,0,1373,32,85,35,0,152,4394,
CATES A,Gwinnett,2387,162,463,308,0,933,99,333,277,1,710,25,24,8,0,57,1700,
BERKSHIRE A,Gwinnett,2555,163,219,120,0,502,237,413,309,2,961,28,18,11,0,57,1520,
BERKSHIRE B,Gwinnett,5338,120,506,329,3,958,273,1323,825,5,2426,18,62,30,0,110,3494,
DUNCANS C,Gwinnett,3040,325,1001,296,1,1623,79,401,262,0,742,17,46,19,0,82,2447,
GARNERS A,Gwinnett,3520,192,760,417,1,1370,123,672,433,1,1229,22,57,25,1,105,2704,
LAWRENCEVILLE A,Gwinnett,3635,161,477,265,0,903,218,594,365,3,1180,22,32,16,0,70,2153,
LAWRENCEVILLE B,Gwinnett,5097,133,592,277,1,1003,196,1436,695,1,2328,21,56,21,1,99,3430,
MARTINS A,Gwinnett,3303,117,203,121,1,442,304,749,400,4,1457,26,27,11,1,65,1964,
MARTINS B,Gwinnett,3001,112,322,179,0,613,258,616,347,2,1223,23,31,11,0,65,1901,
MARTINS C,Gwinnett,2549,157,300,198,1,656,215,493,324,5,1037,23,26,9,0,58,1751,
PINCKNEYVILLE A,Gwinnett,2791,103,135,76,3,317,303,587,331,4,1225,29,22,9,0,60,1602,
PINCKNEYVILLE B,Gwinnett,3485,108,229,137,3,477,278,714,363,4,1359,17,38,17,0,72,1908,
PINCKNEYVILLE C,Gwinnett,2082,243,280,258,1,782,107,320,337,4,768,19,20,23,0,62,1612,
PINCKNEYVILLE D,Gwinnett,2264,74,122,68,2,266,249,419,207,3,878,15,22,15,0,52,1196,
SUGAR HILL A,Gwinnett,4654,383,844,325,3,1555,232,610,441,1,1284,39,46,27,1,113,2952,
SUGAR HILL B,Gwinnett,5596,477,1128,398,11,2014,259,882,533,4,1678,53,83,66,0,202,3894,
HOG MOUNTAIN A,Gwinnett,5011,300,704,307,1,1312,295,1051,618,1,1965,43,53,24,0,120,3397,
HOG MOUNTAIN B,Gwinnett,4583,373,1026,421,3,1823,167,730,619,1,1517,23,55,29,0,107,3447,
ROCKYCREEK A,Gwinnett,5939,445,1444,401,0,2290,247,1091,610,3,1951,47,74,27,0,148,4389,
CATES B,Gwinnett,1587,132,322,178,1,633,74,214,175,1,464,23,27,8,0,58,1155,
CATES C,Gwinnett,2903,167,301,194,1,663,166,753,394,2,1315,19,21,18,0,58,2036,
HOG MOUNTAIN D,Gwinnett,3179,254,652,241,1,1148,136,463,380,1,980,34,49,21,0,104,2232,
BERKSHIRE D,Gwinnett,2945,139,484,300,1,924,100,577,484,3,1164,21,45,32,0,98,2186,
BERKSHIRE E,Gwinnett,1997,155,442,196,0,793,65,341,280,1,687,16,24,17,0,57,1537,
BERKSHIRE F,Gwinnett,2254,156,206,162,0,524,173,361,295,1,830,25,14,10,0,49,1403,
CATES D,Gwinnett,3755,224,616,325,0,1165,169,798,539,2,1508,22,34,36,0,92,2765,
CATES E,Gwinnett,2942,208,540,311,1,1060,125,575,456,1,1157,31,41,23,0,95,2312,
PINCKNEYVILLE E,Gwinnett,2184,103,96,61,2,262,222,463,261,6,952,18,30,17,1,66,1280,
PINCKNEYVILLE F,Gwinnett,2546,102,216,113,1,432,230,452,305,2,989,17,25,18,0,60,1481,
DUNCANS D,Gwinnett,7153,594,2052,714,3,3363,260,917,676,0,1853,45,89,37,0,171,5387,
PINCKNEYVILLE H,Gwinnett,4536,332,711,450,1,1494,204,838,744,1,1787,32,59,42,2,135,3416,
BAYCREEK B,Gwinnett,5969,252,637,267,3,1159,402,1684,776,7,2869,38,48,27,0,113,4141,
LAWRENCEVILLE C,Gwinnett,3037,280,594,278,0,1152,119,458,310,1,888,28,45,20,0,93,2133,
MARTINS D,Gwinnett,2402,81,118,93,2,294,257,435,280,2,974,19,20,12,0,51,1319,
ROCKBRIDGE B,Gwinnett,4177,118,318,160,0,596,289,1119,584,1,1993,32,39,21,0,92,2681,
GARNERS B,Gwinnett,3178,110,388,210,5,713,172,828,463,1,1464,19,24,17,0,60,2237,
CATES F,Gwinnett,1787,201,300,235,0,736,93,284,212,2,591,19,23,13,0,55,1382,
CATES G,Gwinnett,2875,201,660,375,0,1236,104,506,400,0,1010,17,33,17,0,67,2313,
DULUTH B,Gwinnett,3551,250,524,352,3,1129,173,502,519,1,1195,20,36,27,1,84,2408,
GARNERS C,Gwinnett,2030,123,275,140,0,538,116,431,247,1,795,16,34,17,1,68,1401,
PINCKNEYVILLE I,Gwinnett,2635,96,200,127,0,423,234,534,299,2,1069,21,23,9,0,53,1545,
PINCKNEYVILLE J,Gwinnett,2613,72,121,62,0,255,247,606,265,3,1121,18,19,10,0,47,1423,
BERKSHIRE G,Gwinnett,2419,158,486,238,0,882,95,520,291,0,906,23,39,15,0,77,1865,
CATES H,Gwinnett,3924,105,381,181,0,667,292,914,485,2,1693,23,39,16,0,78,2438,
