Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
PINCKNEYVILLE I,Gwinnett,2635,106,196,124,0,426,248,563,311,2,1124,19,18,11,0,48,1598,
PINCKNEYVILLE J,Gwinnett,2613,72,125,65,0,262,263,632,259,2,1156,16,21,12,0,49,1467,
BERKSHIRE G,Gwinnett,2419,164,495,223,0,882,97,542,316,1,956,17,33,14,0,64,1902,
CATES H,Gwinnett,3924,105,403,184,0,692,309,931,484,1,1725,17,32,16,0,65,2482,
SUGAR HILL C,Gwinnett,5085,579,1227,437,1,2244,224,760,515,0,1499,39,58,38,0,135,3878,
SUGAR HILL D,Gwinnett,4624,300,1155,308,6,1769,196,748,443,2,1389,26,49,31,1,107,3265,
DULUTH C,Gwinnett,2229,193,319,200,1,713,138,369,321,1,829,19,17,22,0,58,1600,
DULUTH D,Gwinnett,5077,225,650,291,8,1174,299,1037,666,12,2014,31,42,22,0,95,3283,
PINCKNEYVILLE K,Gwinnett,3754,141,221,119,2,483,373,811,440,9,1633,16,25,20,1,62,2178,
PINCKNEYVILLE N,Gwinnett,3819,107,201,61,0,369,456,938,482,6,1882,34,22,13,0,69,2320,
LAWRENCEVILLE D,Gwinnett,5012,159,261,186,4,610,430,1080,521,8,2039,22,35,27,1,85,2734,
LAWRENCEVILLE E,Gwinnett,2355,155,389,248,1,793,156,385,299,2,842,7,15,15,0,37,1672,
PINCKNEYVILLE L,Gwinnett,2330,299,426,441,1,1167,98,276,441,0,815,11,15,23,0,49,2031,
PINCKNEYVILLE M,Gwinnett,2673,340,633,412,0,1385,87,331,417,0,835,10,15,15,0,40,2260,
GARNERS D,Gwinnett,3490,80,264,188,0,532,239,915,605,0,1759,20,28,16,0,64,2355,
BERKSHIRE H,Gwinnett,1987,105,176,147,2,430,151,348,247,3,749,8,14,7,0,29,1208,
PINCKNEYVILLE O,Gwinnett,3359,95,254,106,0,455,296,789,349,7,1441,21,19,9,0,49,1945,
PUCKETTS E,Gwinnett,5660,283,1048,405,0,1736,248,1130,671,3,2052,21,38,20,1,80,3868,
CATES I,Gwinnett,3537,259,589,298,1,1147,193,820,551,1,1565,13,14,23,0,50,2762,
CATES J,Gwinnett,3478,231,445,282,2,960,188,809,531,3,1531,23,23,30,0,76,2567,
GOODWINS B,Gwinnett,3960,307,880,320,1,1508,205,628,538,0,1371,21,37,26,0,84,2963,
LAWRENCEVILLE F,Gwinnett,4061,169,341,146,0,656,288,1154,594,4,2040,23,20,17,0,60,2756,
MARTINS E,Gwinnett,6193,144,213,87,1,445,586,1413,682,6,2687,37,49,27,0,113,3245,
PINCKNEYVILLE P,Gwinnett,2185,180,259,244,0,683,179,388,350,2,919,12,11,16,0,39,1641,
PINCKNEYVILLE Q,Gwinnett,1915,72,62,40,0,174,273,434,210,3,920,16,11,9,0,36,1130,
ROCKBRIDGE C,Gwinnett,5125,128,330,188,2,648,289,1744,967,5,3005,20,31,17,0,68,3721,
ROCKBRIDGE D,Gwinnett,3642,64,372,191,0,627,200,1158,629,8,1995,14,25,16,0,55,2677,
GOODWINS C,Gwinnett,5804,300,604,322,0,1226,401,1235,894,1,2531,35,31,26,0,92,3849,
BAYCREEK K,Gwinnett,3824,156,660,334,0,1150,151,963,531,0,1645,19,38,21,0,78,2873,
CATES K,Gwinnett,2810,242,484,250,3,979,148,557,371,0,1076,30,29,16,0,75,2130,
BAYCREEK C,Gwinnett,6499,317,1032,356,3,1708,359,1771,899,0,3029,25,45,16,0,86,4823,
CATES L,Gwinnett,4185,215,585,320,0,1120,265,955,556,4,1780,22,41,21,0,84,2984,
DULUTH E,Gwinnett,4814,206,510,243,1,960,398,1148,737,8,2291,32,48,31,0,111,3362,
GOODWINS D,Gwinnett,4406,386,645,294,1,1326,332,734,565,3,1634,21,42,24,1,88,3048,
LAWRENCEVILLE G,Gwinnett,3046,118,305,134,1,558,243,756,413,1,1413,14,26,17,0,57,2028,
LAWRENCEVILLE H,Gwinnett,4296,292,778,353,3,1426,223,817,590,2,1632,32,47,19,1,99,3157,
MARTINS F,Gwinnett,2570,138,150,103,2,393,231,483,325,4,1043,16,16,17,0,49,1485,
PINCKNEYVILLE S,Gwinnett,3374,175,340,230,1,746,337,597,417,3,1354,21,23,23,2,69,2169,
ROCKBRIDGE E,Gwinnett,4638,127,324,140,1,592,393,1155,727,2,2277,23,38,18,1,80,2949,
SUGAR HILL E,Gwinnett,3589,324,746,305,3,1378,142,648,389,4,1183,30,47,19,0,96,2657,
LAWRENCEVILLE I,Gwinnett,3312,200,376,193,1,770,264,643,423,2,1332,24,24,26,0,74,2176,
BAYCREEK D,Gwinnett,4609,305,835,342,1,1483,197,1048,612,0,1857,24,38,19,0,81,3421,
BERKSHIRE J,Gwinnett,2731,160,580,287,0,1027,113,543,428,2,1086,8,25,16,1,50,2163,
CATES M,Gwinnett,3988,264,860,452,0,1576,163,799,580,2,1544,23,47,29,0,99,3219,
CATES N,Gwinnett,2567,229,560,349,1,1139,125,384,288,0,797,21,19,11,0,51,1987,
DULUTH F,Gwinnett,6161,182,388,256,6,832,468,1403,912,14,2797,25,40,40,1,106,3735,
DULUTH G,Gwinnett,3067,269,538,338,2,1147,165,481,449,2,1097,24,18,17,0,59,2303,
GOODWINS E,Gwinnett,5491,406,863,407,1,1677,339,1014,765,1,2119,28,47,31,0,106,3902,
GOODWINS F,Gwinnett,3212,193,445,242,0,880,185,605,483,0,1273,15,33,24,0,72,2225,
PINCKNEYVILLE T,Gwinnett,3201,198,325,253,2,778,236,582,422,4,1244,18,24,19,0,61,2083,
SUWANEE B,Gwinnett,4656,245,1097,419,0,1761,125,996,615,0,1736,19,30,40,0,89,3586,
PINCKNEYVILLE U,Gwinnett,2090,193,202,142,0,537,233,404,293,5,935,9,8,5,0,22,1494,
PUCKETTS B,Gwinnett,3096,283,863,247,1,1394,113,499,289,0,901,22,25,16,0,63,2358,
BERKSHIRE L,Gwinnett,3265,150,249,146,0,545,341,695,435,1,1472,19,25,21,0,65,2082,
ROCKBRIDGE F,Gwinnett,5795,78,425,206,1,710,298,2148,843,5,3294,14,47,26,0,87,4091,
SUGAR HILL F,Gwinnett,4112,383,837,330,5,1555,208,611,487,3,1309,27,51,26,0,104,2968,
SUWANEE C,Gwinnett,5675,332,1069,486,6,1893,220,980,862,1,2063,20,45,35,0,100,4056,
CATES O,Gwinnett,1434,162,232,137,3,534,95,263,205,2,565,11,6,5,0,22,1121,
BAYCREEK E,Gwinnett,3265,192,444,183,0,819,218,734,424,3,1379,22,29,12,2,65,2263,
BERKSHIRE M,Gwinnett,1864,173,336,190,2,701,104,328,258,0,690,9,12,12,1,34,1425,
MARTINS G,Gwinnett,2425,137,193,96,0,426,249,500,284,1,1034,20,23,5,0,48,1508,
DULUTH H,Gwinnett,2813,164,456,287,3,910,146,462,493,2,1103,14,22,24,0,60,2073,
BERKSHIRE N,Gwinnett,3128,114,736,358,1,1209,87,631,495,0,1213,9,29,18,0,56,2478,
PINCKNEYVILLE V,Gwinnett,1706,101,199,102,0,402,120,333,205,2,660,10,17,6,0,33,1095,
PINCKNEYVILLE W,Gwinnett,4253,224,505,382,1,1112,273,786,554,6,1619,30,25,39,1,95,2826,
MARTINS H,Gwinnett,5037,244,514,339,6,1103,391,1059,681,7,2138,20,37,27,1,85,3326,
MARTINS I,Gwinnett,4078,157,341,225,3,726,362,825,518,3,1708,20,24,12,0,56,2490,
MARTINS J,Gwinnett,3923,154,229,107,4,494,437,943,510,5,1895,40,27,16,1,84,2473,
GARNERS F,Gwinnett,1796,106,342,136,1,585,114,350,262,2,728,9,16,13,0,38,1351,
BERKSHIRE O,Gwinnett,2589,175,508,306,0,989,126,429,372,3,930,19,28,5,0,52,1971,
BERKSHIRE P,Gwinnett,1476,97,149,78,1,325,122,242,173,1,538,9,13,10,0,32,895,
PINCKNEYVILLE X,Gwinnett,3412,217,557,372,6,1152,181,626,635,12,1454,25,18,20,0,63,2669,
