Precinct,County,Registered Voters,Tarece Johnson (Dem)_Election Day Votes,Tarece Johnson (Dem)_Advanced Voting Votes,Tarece Johnson (Dem)_Absentee by Mail Votes,Tarece Johnson (Dem)_Provisional Votes,Tarece Johnson (Dem)_Choice Total,Total,
MARTINS A,Gwinnett,3303,394,878,473,3,1748,1748,
PINCKNEYVILLE A,Gwinnett,2791,393,658,377,4,1432,1432,
PINCKNEYVILLE B,Gwinnett,3485,355,843,434,4,1636,1636,
PINCKNEYVILLE D,Gwinnett,2264,303,490,247,3,1043,1043,
PINCKNEYVILLE E,Gwinnett,2184,296,548,309,5,1158,1158,
PINCKNEYVILLE F,Gwinnett,2546,296,565,367,1,1229,1229,
MARTINS D,Gwinnett,2402,315,504,329,0,1148,1148,
PINCKNEYVILLE I,Gwinnett,2635,313,653,358,2,1326,1326,
PINCKNEYVILLE J,Gwinnett,2613,315,685,303,2,1305,1305,
PINCKNEYVILLE K,Gwinnett,3754,455,911,499,7,1872,1872,
PINCKNEYVILLE N,Gwinnett,3819,528,1044,512,4,2088,2088,
PINCKNEYVILLE O,Gwinnett,3359,348,888,404,4,1644,1644,
MARTINS E,Gwinnett,6193,697,1547,737,3,2984,2984,
PINCKNEYVILLE Q,Gwinnett,1915,326,462,248,1,1037,1037,
MARTINS F,Gwinnett,2570,293,546,387,1,1227,1227,
PINCKNEYVILLE S,Gwinnett,3374,421,742,524,2,1689,1689,
DULUTH F,Gwinnett,6161,394,924,541,2,1861,1861,
PINCKNEYVILLE U,Gwinnett,2090,307,505,353,5,1170,1170,
BERKSHIRE L,Gwinnett,3265,425,810,498,0,1733,1733,
PINCKNEYVILLE V,Gwinnett,1706,159,405,241,1,806,806,
PINCKNEYVILLE W,Gwinnett,4253,241,498,343,3,1085,1085,
MARTINS I,Gwinnett,4078,449,953,627,3,2032,2032,
MARTINS J,Gwinnett,3923,543,1046,557,1,2147,2147,
PINCKNEYVILLE Y,Gwinnett,3272,421,722,386,1,1530,1530,
DULUTH K,Gwinnett,2786,275,638,348,1,1262,1262,
