Precinct,County,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,
PINCKNEYVILLE O,Gwinnett,3359,96,250,115,1,462,299,784,344,5,1432,1894,
PUCKETTS E,Gwinnett,5660,293,1058,424,1,1776,237,1137,663,3,2040,3816,
CATES I,Gwinnett,3537,270,591,311,2,1174,179,821,542,0,1542,2716,
CATES J,Gwinnett,3478,246,449,291,2,988,182,802,537,2,1523,2511,
GOODWINS B,Gwinnett,3960,319,893,347,1,1560,195,630,520,0,1345,2905,
LAWRENCEVILLE F,Gwinnett,4061,167,342,156,0,665,300,1151,610,4,2065,2730,
MARTINS E,Gwinnett,6193,134,210,104,2,450,613,1427,684,5,2729,3179,
PINCKNEYVILLE P,Gwinnett,2185,171,256,247,0,674,180,394,348,2,924,1598,
PINCKNEYVILLE Q,Gwinnett,1915,64,66,37,1,168,282,428,221,2,933,1101,
ROCKBRIDGE C,Gwinnett,5125,127,326,191,2,646,293,1750,991,5,3039,3685,
ROCKBRIDGE D,Gwinnett,3642,69,382,194,1,646,204,1156,630,6,1996,2642,
GOODWINS C,Gwinnett,5804,299,594,331,0,1224,411,1239,895,1,2546,3770,
BAYCREEK K,Gwinnett,3824,162,674,351,0,1187,152,957,529,1,1639,2826,
CATES K,Gwinnett,2810,259,516,254,2,1031,147,545,367,1,1060,2091,
BAYCREEK C,Gwinnett,6499,309,1035,377,3,1724,370,1765,877,0,3012,4736,
CATES L,Gwinnett,4185,221,599,331,0,1151,267,958,553,4,1782,2933,
DULUTH E,Gwinnett,4814,213,518,247,0,978,410,1159,734,8,2311,3289,
GOODWINS D,Gwinnett,4406,392,650,308,1,1351,325,734,566,2,1627,2978,
LAWRENCEVILLE G,Gwinnett,3046,117,301,142,1,561,242,752,415,1,1410,1971,
LAWRENCEVILLE H,Gwinnett,4296,299,774,366,4,1443,226,836,570,2,1634,3077,
MARTINS F,Gwinnett,2570,135,155,102,2,394,239,481,343,3,1066,1460,
PINCKNEYVILLE S,Gwinnett,3374,178,330,232,1,741,340,603,427,5,1375,2116,
ROCKBRIDGE E,Gwinnett,4638,145,340,137,1,623,391,1157,754,3,2305,2928,
SUGAR HILL E,Gwinnett,3589,329,783,326,3,1441,148,638,375,4,1165,2606,
LAWRENCEVILLE I,Gwinnett,3312,208,377,204,0,789,266,650,422,2,1340,2129,
BAYCREEK D,Gwinnett,4609,313,850,358,0,1521,196,1041,611,0,1848,3369,
BERKSHIRE J,Gwinnett,2731,163,593,297,0,1053,112,538,411,2,1063,2116,
CATES M,Gwinnett,3988,277,881,474,1,1633,160,792,569,2,1523,3156,
CATES N,Gwinnett,2567,239,566,361,1,1167,126,380,285,0,791,1958,
DULUTH F,Gwinnett,6161,178,383,258,3,822,473,1416,923,18,2830,3652,
DULUTH G,Gwinnett,3067,285,528,348,1,1162,159,486,433,2,1080,2242,
GOODWINS E,Gwinnett,5491,425,865,437,1,1728,319,1019,740,1,2079,3807,
GOODWINS F,Gwinnett,3212,192,450,249,0,891,184,602,480,0,1266,2157,
PINCKNEYVILLE T,Gwinnett,3201,200,328,258,3,789,227,581,412,2,1222,2011,
SUWANEE B,Gwinnett,4656,245,1113,440,0,1798,127,965,589,0,1681,3479,
PINCKNEYVILLE U,Gwinnett,2090,196,207,145,0,548,222,402,284,5,913,1461,
PUCKETTS B,Gwinnett,3096,283,867,259,1,1410,120,492,280,0,892,2302,
BERKSHIRE L,Gwinnett,3265,152,247,152,0,551,340,699,440,1,1480,2031,
ROCKBRIDGE F,Gwinnett,5795,82,435,222,1,740,310,2163,862,5,3340,4080,
SUGAR HILL F,Gwinnett,4112,391,870,341,5,1607,208,605,475,2,1290,2897,
SUWANEE C,Gwinnett,5675,335,1053,514,5,1907,219,994,834,3,2050,3957,
CATES O,Gwinnett,1434,161,233,143,2,539,92,256,204,3,555,1094,
BAYCREEK E,Gwinnett,3265,197,439,185,1,822,217,749,419,4,1389,2211,
BERKSHIRE M,Gwinnett,1864,166,347,187,2,702,110,321,262,1,694,1396,
MARTINS G,Gwinnett,2425,127,184,102,1,414,263,516,279,0,1058,1472,
DULUTH H,Gwinnett,2813,171,457,301,3,932,144,456,488,1,1089,2021,
BERKSHIRE N,Gwinnett,3128,112,747,378,1,1238,89,629,481,0,1199,2437,
PINCKNEYVILLE V,Gwinnett,1706,105,197,104,1,407,116,341,200,1,658,1065,
PINCKNEYVILLE W,Gwinnett,4253,229,495,379,2,1105,273,787,588,5,1653,2758,
MARTINS H,Gwinnett,5037,236,503,369,4,1112,394,1062,670,10,2136,3248,
MARTINS I,Gwinnett,4078,153,347,219,3,722,365,808,522,3,1698,2420,
MARTINS J,Gwinnett,3923,146,229,115,4,494,467,935,509,6,1917,2411,
GARNERS F,Gwinnett,1796,111,335,162,2,610,101,347,247,1,696,1306,
BERKSHIRE O,Gwinnett,2589,177,520,307,0,1004,126,426,355,3,910,1914,
BERKSHIRE P,Gwinnett,1476,94,149,75,1,319,127,242,184,1,554,873,
PINCKNEYVILLE X,Gwinnett,3412,229,572,408,9,1218,175,607,593,8,1383,2601,
ROCKBRIDGE G,Gwinnett,5799,130,383,202,3,718,395,1875,936,13,3219,3937,
PINCKNEYVILLE Y,Gwinnett,3272,100,164,89,0,353,358,659,340,2,1359,1712,
GOODWINS G,Gwinnett,2661,140,265,97,3,505,254,588,358,1,1201,1706,
PINCKNEYVILLE Z,Gwinnett,1898,308,365,313,0,986,79,205,317,0,601,1587,
PINCKNEYVILLE A1,Gwinnett,2694,307,572,456,0,1335,90,350,467,0,907,2242,
LAWRENCEVILLE J,Gwinnett,2249,149,217,93,0,459,185,549,299,3,1036,1495,
GOODWINS H,Gwinnett,2796,209,466,189,0,864,171,549,378,2,1100,1964,
DUNCANS B,Gwinnett,5387,558,1653,481,4,2696,224,764,494,2,1484,4180,
SUWANEE D,Gwinnett,4732,444,1292,522,1,2259,148,713,604,2,1467,3726,
SUWANEE E,Gwinnett,4256,360,1088,472,1,1921,126,766,539,1,1432,3353,
LAWRENCEVILLE K,Gwinnett,3282,262,591,296,0,1149,172,633,473,0,1278,2427,
HARBINS B,Gwinnett,4845,323,1259,324,1,1907,207,874,425,3,1509,3416,
BAYCREEK F,Gwinnett,4608,232,550,238,5,1025,282,1348,653,7,2290,3315,
PUCKETTS C,Gwinnett,3367,263,887,247,1,1398,119,513,315,0,947,2345,
HOG MOUNTAIN C,Gwinnett,4292,344,931,332,0,1607,196,686,495,2,1379,2986,
ROCKYCREEK B,Gwinnett,5061,368,1231,383,1,1983,222,960,489,2,1673,3656,
DULUTH I,Gwinnett,5105,292,943,671,0,1906,190,737,856,1,1784,3690,
MARTINS K,Gwinnett,5352,207,394,264,0,865,480,1358,778,4,2620,3485,
SUWANEE H,Gwinnett,3785,322,1178,490,0,1990,113,524,413,1,1051,3041,
SUGAR HILL G,Gwinnett,2814,299,801,265,0,1365,70,383,361,1,815,2180,
SUWANEE F,Gwinnett,3966,297,789,342,2,1430,166,728,546,2,1442,2872,
LAWRENCEVILLE L,Gwinnett,4802,221,738,351,1,1311,278,1129,692,1,2100,3411,
LAWRENCEVILLE M,Gwinnett,7255,234,559,276,2,1071,528,2049,1045,6,3628,4699,
BAYCREEK G,Gwinnett,6241,272,781,302,0,1355,308,1950,894,1,3153,4508,
BAYCREEK H,Gwinnett,6811,363,1340,537,3,2243,325,1740,898,2,2965,5208,
BAYCREEK I,Gwinnett,5899,255,788,374,6,1423,322,1502,759,4,2587,4010,
BERKSHIRE Q,Gwinnett,1802,157,298,169,1,625,108,293,230,1,632,1257,
GOODWINS I,Gwinnett,2501,236,391,279,0,906,160,460,349,0,969,1875,
DULUTH K,Gwinnett,2786,79,161,81,1,322,228,553,312,1,1094,1416,
HARBINS C,Gwinnett,2850,384,598,181,2,1165,164,613,272,1,1050,2215,
ROCKYCREEK C,Gwinnett,4806,336,1186,362,0,1884,232,958,534,4,1728,3612,
LAWRENCEVILLE N,Gwinnett,2573,177,290,146,2,615,200,467,287,5,959,1574,
PUCKETTS D,Gwinnett,3622,255,958,333,4,1550,142,565,394,1,1102,2652,
SUWANEE G,Gwinnett,3904,297,730,281,0,1308,214,813,548,1,1576,2884,
BAYCREEK J,Gwinnett,4567,199,516,245,1,961,305,1289,644,4,2242,3203,
