Precinct,County,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,
ROCKBRIDGE B,Gwinnett,4177,373,1293,664,1,2331,2331,
GARNERS B,Gwinnett,3178,234,988,552,2,1776,1776,
GARNERS C,Gwinnett,2030,176,572,307,0,1055,1055,
GARNERS D,Gwinnett,3490,132,457,344,0,933,933,
CATES J,Gwinnett,3478,133,472,290,0,895,895,
ROCKBRIDGE C,Gwinnett,5125,18,165,94,0,277,277,
ROCKBRIDGE E,Gwinnett,4638,471,1322,789,1,2583,2583,
GARNERS F,Gwinnett,1796,148,489,315,2,954,954,
