Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
CATES J,Gwinnett,3478,320,1014,617,3,1954,108,230,190,0,528,2482,
GOODWINS B,Gwinnett,3960,363,1101,646,0,2110,150,410,213,1,774,2884,
LAWRENCEVILLE F,Gwinnett,4061,360,1197,578,3,2138,111,279,126,0,516,2654,
MARTINS E,Gwinnett,6193,635,1377,594,7,2613,111,252,121,0,484,3097,
PINCKNEYVILLE P,Gwinnett,2185,271,492,436,2,1201,88,148,128,0,364,1565,
PINCKNEYVILLE Q,Gwinnett,1915,294,410,205,2,911,60,87,40,1,188,1099,
ROCKBRIDGE C,Gwinnett,5125,342,1659,872,6,2879,79,405,256,0,740,3619,
ROCKBRIDGE D,Gwinnett,3642,227,1173,597,4,2001,47,343,203,3,596,2597,
GOODWINS C,Gwinnett,5804,541,1425,906,1,2873,169,384,247,0,800,3673,
BAYCREEK K,Gwinnett,3824,254,1270,636,1,2161,65,348,196,0,609,2770,
CATES K,Gwinnett,2810,296,785,484,2,1567,112,257,123,1,493,2060,
BAYCREEK C,Gwinnett,6499,500,2171,941,3,3615,171,614,265,0,1050,4665,
CATES L,Gwinnett,4185,378,1162,611,3,2154,112,384,218,0,714,2868,
DULUTH E,Gwinnett,4814,504,1313,774,9,2600,113,355,158,1,627,3227,
GOODWINS D,Gwinnett,4406,531,1028,610,5,2174,188,351,219,0,758,2932,
LAWRENCEVILLE G,Gwinnett,3046,299,812,405,1,1517,61,238,119,0,418,1935,
LAWRENCEVILLE H,Gwinnett,4296,393,1174,685,3,2255,135,418,206,2,761,3016,
MARTINS F,Gwinnett,2570,311,529,322,6,1168,65,93,85,0,243,1411,
PINCKNEYVILLE S,Gwinnett,3374,421,711,478,6,1616,100,214,151,0,465,2081,
ROCKBRIDGE E,Gwinnett,4638,423,1178,664,3,2268,110,316,159,1,586,2854,
SUGAR HILL E,Gwinnett,3589,370,1078,506,4,1958,110,340,161,2,613,2571,
LAWRENCEVILLE I,Gwinnett,3312,376,812,472,2,1662,109,209,112,1,431,2093,
BAYCREEK D,Gwinnett,4609,382,1446,710,0,2538,131,436,207,0,774,3312,
BERKSHIRE J,Gwinnett,2731,195,840,536,2,1573,80,283,151,1,515,2088,
CATES M,Gwinnett,3988,347,1297,769,3,2416,94,377,214,0,685,3101,
CATES N,Gwinnett,2567,278,689,433,0,1400,88,256,183,1,528,1928,
DULUTH F,Gwinnett,6161,526,1457,887,16,2886,123,318,211,3,655,3541,
DULUTH G,Gwinnett,3067,287,752,558,2,1599,151,249,181,1,582,2181,
GOODWINS E,Gwinnett,5491,552,1445,923,1,2921,185,432,230,1,848,3769,
GOODWINS F,Gwinnett,3212,288,798,550,0,1636,88,257,149,0,494,2130,
PINCKNEYVILLE T,Gwinnett,3201,342,684,489,4,1519,93,212,143,1,449,1968,
SUWANEE B,Gwinnett,4656,293,1553,758,0,2604,80,518,253,0,851,3455,
PINCKNEYVILLE U,Gwinnett,2090,331,477,319,3,1130,88,129,88,2,307,1437,
PUCKETTS B,Gwinnett,3096,303,971,386,1,1661,105,376,135,0,616,2277,
BERKSHIRE L,Gwinnett,3265,393,747,458,2,1600,87,185,99,0,371,1971,
ROCKBRIDGE F,Gwinnett,5795,325,2022,761,4,3112,67,544,258,0,869,3981,
SUGAR HILL F,Gwinnett,4112,439,1094,596,8,2137,169,379,198,0,746,2883,
SUWANEE C,Gwinnett,5675,403,1538,1003,6,2950,152,485,289,0,926,3876,
CATES O,Gwinnett,1434,189,371,263,4,827,72,115,65,0,252,1079,
BAYCREEK E,Gwinnett,3265,309,873,449,2,1633,98,293,125,1,517,2150,
BERKSHIRE M,Gwinnett,1864,189,497,336,2,1024,89,166,87,1,343,1367,
MARTINS G,Gwinnett,2425,304,549,298,0,1151,90,151,70,1,312,1463,
