Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
HARBINS A,Gwinnett,7182,504,2159,863,6,3532,185,838,412,3,1438,4970,
ROCKBRIDGE A,Gwinnett,3987,272,1180,542,1,1995,87,358,232,0,677,2672,
DACULA,Gwinnett,4777,356,1400,567,2,2325,123,553,245,0,921,3246,
SUWANEE A,Gwinnett,1737,155,485,213,1,854,53,160,105,0,318,1172,
BAYCREEK A,Gwinnett,2720,264,718,457,0,1439,108,316,176,0,600,2039,
GOODWINS A,Gwinnett,3921,409,971,528,1,1909,143,349,229,1,722,2631,
DULUTH A,Gwinnett,5042,313,1351,900,2,2566,134,523,405,0,1062,3628,
DUNCANS A,Gwinnett,4729,320,1509,635,2,2466,147,689,291,0,1127,3593,
PUCKETTS A,Gwinnett,5692,359,1915,743,1,3018,105,811,350,0,1266,4284,
CATES A,Gwinnett,2387,200,574,378,1,1153,83,233,179,0,495,1648,
BERKSHIRE A,Gwinnett,2555,336,483,295,1,1115,93,162,111,0,366,1481,
BERKSHIRE B,Gwinnett,5338,325,1442,805,4,2576,85,432,304,3,824,3400,
DUNCANS C,Gwinnett,3040,269,985,370,1,1625,141,420,185,0,746,2371,
GARNERS A,Gwinnett,3520,246,1035,608,1,1890,93,433,223,0,749,2639,
LAWRENCEVILLE A,Gwinnett,3635,311,799,433,2,1545,97,296,174,1,568,2113,
LAWRENCEVILLE B,Gwinnett,5097,260,1569,660,2,2491,89,503,291,1,884,3375,
MARTINS A,Gwinnett,3303,348,761,373,5,1487,101,222,127,1,451,1938,
MARTINS B,Gwinnett,3001,295,749,375,1,1420,97,223,122,0,442,1862,
MARTINS C,Gwinnett,2549,300,587,379,5,1271,100,222,124,0,446,1717,
PINCKNEYVILLE A,Gwinnett,2791,339,579,291,6,1215,99,155,103,0,357,1572,
PINCKNEYVILLE B,Gwinnett,3485,294,749,353,5,1401,111,221,136,1,469,1870,
PINCKNEYVILLE C,Gwinnett,2082,251,455,424,2,1132,114,155,174,2,445,1577,
PINCKNEYVILLE D,Gwinnett,2264,266,440,210,5,921,79,128,75,0,282,1203,
SUGAR HILL A,Gwinnett,4654,490,1070,550,4,2114,161,403,216,0,780,2894,
