Precinct,County,Registered Voters,Marvin Lim (Dem)_Election Day Votes,Marvin Lim (Dem)_Advanced Voting Votes,Marvin Lim (Dem)_Absentee by Mail Votes,Marvin Lim (Dem)_Provisional Votes,Marvin Lim (Dem)_Choice Total,Total,
PINCKNEYVILLE B,Gwinnett,3485,353,842,436,1,1632,1632,
PINCKNEYVILLE D,Gwinnett,2264,306,490,246,1,1043,1043,
PINCKNEYVILLE J,Gwinnett,2613,315,690,302,2,1309,1309,
PINCKNEYVILLE K,Gwinnett,3754,451,910,493,2,1856,1856,
BERKSHIRE H,Gwinnett,1987,210,412,312,2,936,936,
PINCKNEYVILLE O,Gwinnett,3359,346,891,408,2,1647,1647,
PINCKNEYVILLE V,Gwinnett,1706,165,409,244,1,819,819,
PINCKNEYVILLE Y,Gwinnett,3272,193,334,173,1,701,701,
