Precinct,County,Registered Voters,Tommy C. Carter (I) (Rep)_Election Day Votes,Tommy C. Carter (I) (Rep)_Advanced Voting Votes,Tommy C. Carter (I) (Rep)_Absentee by Mail Votes,Tommy C. Carter (I) (Rep)_Provisional Votes,Tommy C. Carter (I) (Rep)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,176,319,108,0,603,603,
Altamaha 1,Jeff Davis,703,97,325,48,0,470,470,
Altamaha 2,Jeff Davis,1249,330,476,85,0,891,891,
Blackburn 1,Jeff Davis,870,113,259,68,0,440,440,
Blackburn 2,Jeff Davis,722,171,254,60,0,485,485,
Whitehead 1,Jeff Davis,988,122,367,92,0,581,581,
Whitehead 2,Jeff Davis,642,192,205,46,0,443,443,
Ocmulgee 1,Jeff Davis,1399,203,561,113,0,877,877,
Ocmulgee 2,Jeff Davis,499,107,140,50,0,297,297,
