Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,164,287,94,0,545,545,
Altamaha 1,Jeff Davis,703,93,321,48,0,462,462,
Altamaha 2,Jeff Davis,1249,316,481,81,0,878,878,
Blackburn 1,Jeff Davis,870,109,238,57,0,404,404,
Blackburn 2,Jeff Davis,722,177,244,56,0,477,477,
Whitehead 1,Jeff Davis,988,115,354,82,0,551,551,
Whitehead 2,Jeff Davis,642,184,199,43,0,426,426,
Ocmulgee 1,Jeff Davis,1399,204,544,107,0,855,855,
Ocmulgee 2,Jeff Davis,499,108,131,45,0,284,284,
