Precinct,County,Registered Voters,Julie Copeland Wilkinson (I) (Rep)_Election Day Votes,Julie Copeland Wilkinson (I) (Rep)_Advanced Voting Votes,Julie Copeland Wilkinson (I) (Rep)_Absentee by Mail Votes,Julie Copeland Wilkinson (I) (Rep)_Provisional Votes,Julie Copeland Wilkinson (I) (Rep)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,169,306,94,0,569,569,
Altamaha 1,Jeff Davis,703,93,323,49,0,465,465,
Altamaha 2,Jeff Davis,1249,328,479,85,0,892,892,
Blackburn 1,Jeff Davis,870,115,251,68,0,434,434,
Blackburn 2,Jeff Davis,722,174,250,60,0,484,484,
Whitehead 1,Jeff Davis,988,118,359,90,0,567,567,
Whitehead 2,Jeff Davis,642,190,200,46,0,436,436,
Ocmulgee 1,Jeff Davis,1399,203,547,111,0,861,861,
Ocmulgee 2,Jeff Davis,499,109,131,43,0,283,283,
