Precinct,County,Registered Voters,David Miller (Rep)_Election Day Votes,David Miller (Rep)_Advanced Voting Votes,David Miller (Rep)_Absentee by Mail Votes,David Miller (Rep)_Provisional Votes,David Miller (Rep)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,164,300,98,0,562,562,
Altamaha 1,Jeff Davis,703,97,324,45,0,466,466,
Altamaha 2,Jeff Davis,1249,335,474,82,0,891,891,
Blackburn 1,Jeff Davis,870,110,248,67,0,425,425,
Blackburn 2,Jeff Davis,722,175,256,59,0,490,490,
Whitehead 1,Jeff Davis,988,118,370,89,0,577,577,
Whitehead 2,Jeff Davis,642,196,203,45,0,444,444,
Ocmulgee 1,Jeff Davis,1399,199,551,108,0,858,858,
Ocmulgee 2,Jeff Davis,499,111,140,44,0,295,295,
