Precinct,County,Registered Voters,Hank Hobbs (I) (Rep)_Election Day Votes,Hank Hobbs (I) (Rep)_Advanced Voting Votes,Hank Hobbs (I) (Rep)_Absentee by Mail Votes,Hank Hobbs (I) (Rep)_Provisional Votes,Hank Hobbs (I) (Rep)_Choice Total,Total,
Blackburn 1,Jeff Davis,870,105,245,66,0,416,416,
Blackburn 2,Jeff Davis,722,169,247,59,0,475,475,
