Precinct,County,Registered Voters,Susan Graham Kersey (I) (Rep)_Election Day Votes,Susan Graham Kersey (I) (Rep)_Advanced Voting Votes,Susan Graham Kersey (I) (Rep)_Absentee by Mail Votes,Susan Graham Kersey (I) (Rep)_Provisional Votes,Susan Graham Kersey (I) (Rep)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,180,331,112,0,623,623,
Altamaha 1,Jeff Davis,703,96,323,49,0,468,468,
Altamaha 2,Jeff Davis,1249,338,478,86,0,902,902,
Blackburn 1,Jeff Davis,870,117,262,68,0,447,447,
Blackburn 2,Jeff Davis,722,172,261,62,0,495,495,
Whitehead 1,Jeff Davis,988,120,375,95,0,590,590,
Whitehead 2,Jeff Davis,642,192,205,48,0,445,445,
Ocmulgee 1,Jeff Davis,1399,200,560,117,0,877,877,
Ocmulgee 2,Jeff Davis,499,106,144,54,0,304,304,
