Precinct,County,Registered Voters,Tabatha Kirkland Wooten (I)_Election Day Votes,Tabatha Kirkland Wooten (I)_Advanced Voting Votes,Tabatha Kirkland Wooten (I)_Absentee by Mail Votes,Tabatha Kirkland Wooten (I)_Provisional Votes,Tabatha Kirkland Wooten (I)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,171,296,102,0,569,569,
Altamaha 1,Jeff Davis,703,89,319,45,0,453,453,
Altamaha 2,Jeff Davis,1249,308,448,78,0,834,834,
Blackburn 1,Jeff Davis,870,111,234,72,0,417,417,
Blackburn 2,Jeff Davis,722,163,242,56,0,461,461,
Whitehead 1,Jeff Davis,988,114,363,88,0,565,565,
Whitehead 2,Jeff Davis,642,180,196,43,0,419,419,
Ocmulgee 1,Jeff Davis,1399,193,539,112,0,844,844,
Ocmulgee 2,Jeff Davis,499,101,135,46,0,282,282,
