Precinct,County,Registered Voters,Chris A. Davenport (I) (Rep)_Election Day Votes,Chris A. Davenport (I) (Rep)_Advanced Voting Votes,Chris A. Davenport (I) (Rep)_Absentee by Mail Votes,Chris A. Davenport (I) (Rep)_Provisional Votes,Chris A. Davenport (I) (Rep)_Choice Total,Total,
Hazlehurst,Jeff Davis,1406,181,333,108,0,622,622,
Altamaha 1,Jeff Davis,703,96,320,47,0,463,463,
Altamaha 2,Jeff Davis,1249,335,478,84,0,897,897,
Blackburn 1,Jeff Davis,870,109,259,72,0,440,440,
Blackburn 2,Jeff Davis,722,171,251,60,0,482,482,
Whitehead 1,Jeff Davis,988,120,374,93,0,587,587,
Whitehead 2,Jeff Davis,642,194,201,46,0,441,441,
Ocmulgee 1,Jeff Davis,1399,194,549,115,0,858,858,
Ocmulgee 2,Jeff Davis,499,108,140,51,0,299,299,
