Precinct,County,Registered Voters,Rhonda S. Taylor (Dem)_Election Day Votes,Rhonda S. Taylor (Dem)_Advanced Voting Votes,Rhonda S. Taylor (Dem)_Absentee by Mail Votes,Rhonda S. Taylor (Dem)_Provisional Votes,Rhonda S. Taylor (Dem)_Choice Total,Total,
Candler-Murphey Candler Elem,DeKalb,3712,294,1439,650,2,2385,2385,
Fairington Elem,DeKalb,5455,448,1588,664,3,2703,2703,
Flat Rock Elem,DeKalb,3142,259,1336,547,6,2148,2148,
Stonecrest Library,DeKalb,3720,220,1538,550,5,2313,2313,
Woodrow Road,DeKalb,3493,253,1099,496,5,1853,1853,
