Precinct,County,Registered Voters,Viola Davis (I) (Dem)_Election Day Votes,Viola Davis (I) (Dem)_Advanced Voting Votes,Viola Davis (I) (Dem)_Absentee by Mail Votes,Viola Davis (I) (Dem)_Provisional Votes,Viola Davis (I) (Dem)_Choice Total,Total,
Brockett Elem,DeKalb,2752,169,848,581,5,1603,1603,
Brockett,DeKalb,2681,229,773,535,4,1541,1541,
Clarkston,DeKalb,3878,23,61,12,1,97,97,
Crossroads,DeKalb,2898,201,774,581,2,1558,1558,
Evansdale Elem,DeKalb,3441,29,177,144,0,350,350,
Freedom Middle,DeKalb,3227,298,876,561,9,1744,1744,
Hambrick Elem,DeKalb,3776,307,1113,645,8,2073,2073,
Idlewood Elem,DeKalb,2472,226,758,428,7,1419,1419,
Midvale Elem,DeKalb,2747,36,182,155,0,373,373,
Miller Grove,DeKalb,4747,1,7,2,2,12,12,
Montreal,DeKalb,2586,30,88,62,1,181,181,
Midvale Road,DeKalb,1832,150,643,330,0,1123,1123,
North Hairston,DeKalb,2329,232,646,416,5,1299,1299,
Pine Lake,DeKalb,632,244,135,73,0,452,452,
Panola Way Elem,DeKalb,2252,205,592,321,17,1135,1135,
Rockbridge Elem,DeKalb,3595,318,950,511,9,1788,1788,
Redan Middle,DeKalb,2496,65,413,240,2,720,720,
Stone Mtn Middle,DeKalb,3247,31,122,76,2,231,231,
South Hairston,DeKalb,3814,359,1100,647,9,2115,2115,
Tucker,DeKalb,2932,61,611,463,2,1137,1137,
Woodridge Elem,DeKalb,3851,329,1040,753,9,2131,2131,
White Oak,DeKalb,2951,314,729,429,3,1475,1475,
Young Road,DeKalb,1951,107,770,432,4,1313,1313,
