Precinct,County,Registered Voters,Elena Parent (I) (Dem)_Election Day Votes,Elena Parent (I) (Dem)_Advanced Voting Votes,Elena Parent (I) (Dem)_Absentee by Mail Votes,Elena Parent (I) (Dem)_Provisional Votes,Elena Parent (I) (Dem)_Choice Total,Total,
Avondale,DeKalb,2906,278,902,720,1,1901,1901,
Avondale High,DeKalb,3151,133,1165,936,4,2238,2238,
Boulevard,DeKalb,4675,258,1876,1213,2,3349,3349,
Briar Vista Elem,DeKalb,2965,191,861,848,1,1901,1901,
Briarlake Elem,DeKalb,1752,130,541,461,1,1133,1133,
Briarwood,DeKalb,2428,162,784,477,1,1424,1424,
Briarcliff,DeKalb,3122,155,792,819,6,1772,1772,
Brookhaven,DeKalb,3444,0,2,2,0,4,4,
Clairemont West,DeKalb,3264,143,1213,1081,3,2440,2440,
Clairmont Road,DeKalb,3223,188,902,940,6,2036,2036,
Coan Recreation Center,DeKalb,4230,205,1602,912,3,2722,2722,
Cross Keys High,DeKalb,2260,151,615,504,3,1273,1273,
Candler,DeKalb,3537,240,1015,590,8,1853,1853,
Clairemont East,DeKalb,3226,104,1155,1163,4,2426,2426,
Coralwood,DeKalb,3153,148,1045,971,2,2166,2166,
Candler Park,DeKalb,4018,118,1755,1304,1,3178,3178,
Dresden Elem,DeKalb,5141,298,1132,723,4,2157,2157,
Decatur,DeKalb,1937,84,900,496,0,1480,1480,
Druid Hills High,DeKalb,2725,138,669,679,2,1488,1488,
East Lake,DeKalb,4139,213,1402,856,5,2476,2476,
Emory South,DeKalb,3241,193,1051,912,7,2163,2163,
Emory Road,DeKalb,2290,127,650,435,6,1218,1218,
Fernbank Elem,DeKalb,2125,125,718,765,2,1610,1610,
Glennwood,DeKalb,2715,83,877,819,4,1783,1783,
Hawthorne Elem,DeKalb,3884,291,1215,709,4,2219,2219,
Harris-Margaret Harris ED,DeKalb,1462,127,498,320,4,949,949,
Johnson Estates,DeKalb,1600,52,534,549,0,1135,1135,
Knollwood,DeKalb,2546,260,663,462,6,1391,1391,
Lakeside High,DeKalb,3216,212,1058,742,1,2013,2013,
Lavista Road,DeKalb,2223,148,589,655,3,1395,1395,
Lavista,DeKalb,3223,211,884,665,7,1767,1767,
Lin-Mary Lin Elem,DeKalb,3009,135,1110,928,7,2180,2180,
McNair,DeKalb,2794,1,6,2,1,10,10,
McLendon,DeKalb,3607,149,716,616,5,1486,1486,
Medlock,DeKalb,2208,151,702,691,2,1546,1546,
Montclair Elem,DeKalb,2194,217,646,247,6,1116,1116,
Midway,DeKalb,3139,181,738,615,4,1538,1538,
Metropolitan,DeKalb,3405,175,1379,740,7,2301,2301,
North Decatur,DeKalb,2166,116,632,527,12,1287,1287,
Oak Grove Elem,DeKalb,2253,167,691,608,0,1466,1466,
Oakhurst,DeKalb,2398,114,1053,726,2,1895,1895,
Peachcrest,DeKalb,2458,177,614,440,2,1233,1233,
Ponce de Leon,DeKalb,3766,116,907,853,11,1887,1887,
Sagamore Hills Elem,DeKalb,2925,194,920,858,0,1972,1972,
Scott,DeKalb,2805,118,828,894,1,1841,1841,
Shamrock,DeKalb,1600,138,463,487,5,1093,1093,
Wadsworth,DeKalb,3159,273,851,644,7,1775,1775,
Winnona Park,DeKalb,2020,53,888,582,2,1525,1525,
Woodward,DeKalb,3193,176,1001,812,2,1991,1991,
