Precinct,County,Registered Voters,"Edward """"Ted"""" Terry (Dem)_Election Day Votes","Edward """"Ted"""" Terry (Dem)_Advanced Voting Votes","Edward """"Ted"""" Terry (Dem)_Absentee by Mail Votes","Edward """"Ted"""" Terry (Dem)_Provisional Votes","Edward """"Ted"""" Terry (Dem)_Choice Total",Total,
Ashford Park Elem,DeKalb,2432,185,748,449,1,1383,1383,
Austin,DeKalb,2538,196,772,517,1,1486,1486,
Avondale,DeKalb,2906,298,975,758,1,2032,2032,
Ashford Dunwoody Rd,DeKalb,2966,164,1064,591,3,1822,1822,
Ashford Parkside,DeKalb,3664,205,1053,810,6,2074,2074,
Avondale High,DeKalb,3151,129,1143,904,4,2180,2180,
Boulevard,DeKalb,4675,258,1859,1179,3,3299,3299,
Briar Vista Elem,DeKalb,2965,197,857,821,1,1876,1876,
Briarwood,DeKalb,2428,169,794,464,1,1428,1428,
Briarcliff,DeKalb,3122,159,778,781,6,1724,1724,
Brookhaven,DeKalb,3444,265,1197,645,2,2109,2109,
Bouldercrest Road,DeKalb,2004,157,768,353,2,1280,1280,
Burgess Elem,DeKalb,3493,197,1347,856,7,2407,2407,
Cedar Grove Elem,DeKalb,4097,303,1488,762,7,2560,2560,
Chamblee,DeKalb,2231,156,753,404,2,1315,1315,
Chesnut Elem,DeKalb,2363,220,812,376,2,1410,1410,
Clairemont West,DeKalb,3264,141,1187,1054,3,2385,2385,
Clairmont Road,DeKalb,3223,188,900,914,5,2007,2007,
Clarkston,DeKalb,3878,364,893,405,7,1669,1669,
Clifton,DeKalb,1731,123,525,322,4,974,974,
Coan Recreation Center,DeKalb,4230,206,1589,896,3,2694,2694,
Cross Keys High,DeKalb,2260,160,620,493,3,1276,1276,
Candler,DeKalb,3537,9,91,74,1,175,175,
Cedar Grove Middle,DeKalb,1896,135,505,264,2,906,906,
Cedar Grove South,DeKalb,3962,271,1577,737,6,2591,2591,
Covington Hwy,DeKalb,995,54,100,58,2,214,214,
Covington,DeKalb,2376,132,690,362,5,1189,1189,
Clairemont East,DeKalb,3226,109,1142,1128,4,2383,2383,
Coralwood,DeKalb,3153,156,1036,931,2,2125,2125,
Candler Park,DeKalb,4018,120,1714,1239,1,3074,3074,
Clarkston Community Center,DeKalb,2495,215,597,363,7,1182,1182,
Chamblee 2,DeKalb,3137,166,1169,618,0,1953,1953,
Doraville North,DeKalb,3065,102,217,94,0,413,413,
Dresden Elem,DeKalb,5141,313,1170,719,5,2207,2207,
Decatur,DeKalb,1937,86,888,483,0,1457,1457,
Dunaire Elem,DeKalb,2268,190,633,421,4,1248,1248,
Dunwoody,DeKalb,3003,169,976,563,7,1715,1715,
Dunwoody 2,DeKalb,2044,105,682,374,3,1164,1164,
Druid Hills High,DeKalb,2725,134,656,638,2,1430,1430,
Dunwoody Library,DeKalb,2570,90,900,472,2,1464,1464,
East Lake,DeKalb,4139,236,1541,907,6,2690,2690,
Emory South,DeKalb,3241,189,1042,888,6,2125,2125,
Emory Road,DeKalb,2290,124,640,427,6,1197,1197,
Fernbank Elem,DeKalb,2125,122,693,706,1,1522,1522,
Flat Shoals Elem,DeKalb,2409,199,632,406,4,1241,1241,
Flat Shoals,DeKalb,2649,189,650,454,5,1298,1298,
Glennwood,DeKalb,2715,85,875,802,5,1767,1767,
Gresham Road,DeKalb,3601,217,1160,776,16,2169,2169,
Georgetown Sq,DeKalb,4155,263,1367,638,7,2275,2275,
Hambrick Elem,DeKalb,3776,310,1109,631,8,2058,2058,
Hawthorne Elem,DeKalb,3884,293,1216,682,5,2196,2196,
Huntley Hills Elem,DeKalb,3508,319,1189,528,4,2040,2040,
Harris-Narvie J Harris Elem,DeKalb,4031,51,550,267,2,870,870,
Harris-Margaret Harris ED,DeKalb,1462,128,493,308,4,933,933,
Indian Creek,DeKalb,2318,173,506,362,10,1051,1051,
Johnson Estates,DeKalb,1600,49,519,536,0,1104,1104,
Jolly Elem,DeKalb,3679,260,896,610,11,1777,1777,
Kelley Lake Elem,DeKalb,3015,269,758,568,2,1597,1597,
Kingsley Elem,DeKalb,2490,169,682,556,9,1416,1416,
Kittredge Elem,DeKalb,2161,126,739,471,4,1340,1340,
Lakeside High,DeKalb,3216,87,344,193,0,624,624,
Lavista Road,DeKalb,2223,139,582,625,3,1349,1349,
Lavista,DeKalb,3223,206,879,638,8,1731,1731,
Lin-Mary Lin Elem,DeKalb,3009,138,1095,895,8,2136,2136,
McNair High,DeKalb,4160,271,1409,943,5,2628,2628,
McNair,DeKalb,2794,40,168,102,1,311,311,
McLendon,DeKalb,3607,188,1040,856,9,2093,2093,
Medlock,DeKalb,2208,141,698,667,2,1508,1508,
Montclair Elem,DeKalb,2194,219,655,240,7,1121,1121,
Meadowview,DeKalb,3511,228,992,759,11,1990,1990,
Memorial South,DeKalb,3138,252,724,373,16,1365,1365,
McNair Academy,DeKalb,1900,136,616,437,3,1192,1192,
Mount Vernon East,DeKalb,2651,170,879,470,2,1521,1521,
Mount Vernon West,DeKalb,2303,105,850,415,8,1378,1378,
Metropolitan,DeKalb,3405,181,1357,740,7,2285,2285,
Montgomery Elem,DeKalb,2446,161,812,522,5,1500,1500,
North Decatur,DeKalb,2166,119,630,509,12,1270,1270,
Northlake,DeKalb,1509,124,453,400,1,978,978,
North Peachtree,DeKalb,1916,156,524,304,5,989,989,
Oak Grove Elem,DeKalb,2253,166,690,583,0,1439,1439,
Oakhurst,DeKalb,2398,110,1048,700,2,1860,1860,
Oak View Elem,DeKalb,5011,357,1727,744,10,2838,2838,
Peachtree Middle,DeKalb,3502,244,1189,598,2,2033,2033,
Ponce de Leon,DeKalb,3766,117,898,813,11,1839,1839,
Piney Grove,DeKalb,2018,163,522,336,5,1026,1026,
Sagamore Hills Elem,DeKalb,2925,191,923,832,0,1946,1946,
Scott,DeKalb,2805,118,821,876,1,1816,1816,
Shaw-Robert Shaw Elem,DeKalb,2892,250,849,572,3,1674,1674,
Silver Lake,DeKalb,4979,235,1533,922,4,2694,2694,
Skyland,DeKalb,2100,176,679,379,6,1240,1240,
Shamrock,DeKalb,1600,137,466,471,4,1078,1078,
Terry Mill,DeKalb,2808,223,958,600,4,1785,1785,
Tilly Mill Road,DeKalb,1552,116,493,289,0,898,898,
Valley Brook,DeKalb,1037,120,304,239,6,669,669,
Winnona Park,DeKalb,2020,50,874,570,2,1496,1496,
Woodward,DeKalb,3193,172,993,798,2,1965,1965,
Winters Chapel,DeKalb,1434,104,432,317,2,855,855,
