Precinct,County,Registered Voters,Scott Holcomb (I) (Dem)_Election Day Votes,Scott Holcomb (I) (Dem)_Advanced Voting Votes,Scott Holcomb (I) (Dem)_Absentee by Mail Votes,Scott Holcomb (I) (Dem)_Provisional Votes,Scott Holcomb (I) (Dem)_Choice Total,Total,
Ashford Park Elem,DeKalb,2432,183,776,458,0,1417,1417,
Chamblee,DeKalb,2231,159,751,404,2,1316,1316,
Chamblee 2,DeKalb,3137,151,1057,544,0,1752,1752,
Doraville North,DeKalb,3065,119,185,165,1,470,470,
Doraville South,DeKalb,1255,126,332,217,2,677,677,
Dresden Elem,DeKalb,5141,91,269,257,0,617,617,
Embry Hills,DeKalb,1721,70,355,250,0,675,675,
Evansdale Elem,DeKalb,3441,228,896,603,2,1729,1729,
Henderson Mill,DeKalb,3104,185,991,753,2,1931,1931,
Livsey Elem,DeKalb,1350,82,488,324,0,894,894,
Midvale Elem,DeKalb,2747,126,674,513,3,1316,1316,
Oakcliff Elem,DeKalb,2125,280,464,305,5,1054,1054,
Pleasantdale Road,DeKalb,4538,18,120,127,0,265,265,
Skyland,DeKalb,2100,175,687,387,4,1253,1253,
Tucker Library,DeKalb,3506,0,19,9,0,28,28,
Warren Tech,DeKalb,1364,173,366,235,3,777,777,
