Precinct,County,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,
Avondale High,DeKalb,3151,25,52,37,0,114,47,502,393,4,946,1060,
Boulevard,DeKalb,4675,62,180,98,1,341,233,1813,1199,2,3247,3588,
Briar Vista Elem,DeKalb,2965,134,225,148,1,508,136,766,798,0,1700,2208,
Briarcliff,DeKalb,3122,158,349,295,4,806,99,636,719,2,1456,2262,
Bouldercrest Road,DeKalb,2004,12,36,15,0,63,155,757,363,2,1277,1340,
Burgess Elem,DeKalb,3493,47,115,61,1,224,169,1306,877,6,2358,2582,
Columbia Elem,DeKalb,1794,5,22,9,0,36,145,318,242,9,714,750,
Cedar Grove Elem,DeKalb,4097,26,47,22,1,96,283,1471,773,8,2535,2631,
Clifton,DeKalb,1731,9,26,17,0,52,122,515,331,5,973,1025,
Columbia Middle,DeKalb,2178,21,28,9,1,59,139,587,341,6,1073,1132,
Coan Recreation Center,DeKalb,4230,38,178,93,0,309,186,1519,898,2,2605,2914,
Candler,DeKalb,3537,45,77,28,1,151,223,983,597,10,1813,1964,
Cedar Grove Middle,DeKalb,1896,15,21,10,0,46,124,489,263,2,878,924,
Cedar Grove South,DeKalb,3962,18,50,35,0,103,266,1560,742,6,2574,2677,
Clairemont East,DeKalb,3226,63,210,160,3,436,72,1062,1111,1,2246,2682,
Candler Park,DeKalb,4018,63,203,124,0,390,83,1641,1285,1,3010,3400,
Decatur,DeKalb,1937,38,99,46,0,183,66,849,505,0,1420,1603,
Druid Hills High,DeKalb,2725,92,123,129,1,345,101,610,634,2,1347,1692,
East Lake,DeKalb,4139,67,191,70,1,329,202,1486,921,6,2615,2944,
Emory South,DeKalb,3241,123,262,151,0,536,127,921,868,6,1922,2458,
Emory Road,DeKalb,2290,37,68,62,1,168,111,605,420,7,1143,1311,
Fernbank Elem,DeKalb,2125,88,161,138,2,389,80,626,723,1,1430,1819,
Flat Shoals Elem,DeKalb,2409,18,25,10,0,53,195,627,413,5,1240,1293,
Flat Shoals,DeKalb,2649,20,27,12,0,59,179,637,454,5,1275,1334,
Flat Shoals Library,DeKalb,2788,18,33,9,0,60,230,713,419,2,1364,1424,
Glennwood,DeKalb,2715,22,59,44,1,126,42,369,447,3,861,987,
Gresham Road,DeKalb,3601,28,67,41,2,138,201,1138,771,14,2124,2262,
Harris-Margaret Harris ED,DeKalb,1462,62,83,69,1,215,98,453,297,4,852,1067,
Johnson Estates,DeKalb,1600,59,170,129,0,358,28,467,514,0,1009,1367,
Kelley Lake Elem,DeKalb,3015,21,42,30,0,93,267,742,573,3,1585,1678,
Knollwood,DeKalb,2546,45,44,20,2,111,242,651,463,6,1362,1473,
Lavista Road,DeKalb,2223,104,191,183,1,479,91,511,600,3,1205,1684,
Lavista,DeKalb,3223,128,249,188,3,568,156,790,590,6,1542,2110,
Lin-Mary Lin Elem,DeKalb,3009,81,195,125,3,404,101,1010,890,4,2005,2409,
McNair High,DeKalb,4160,50,88,55,0,193,259,1402,967,6,2634,2827,
McNair,DeKalb,2794,23,47,29,2,101,171,809,595,6,1581,1682,
Montclair Elem,DeKalb,2194,72,101,29,0,202,177,605,233,4,1019,1221,
Meadowview,DeKalb,3511,31,43,37,2,113,203,977,749,11,1940,2053,
McNair Academy,DeKalb,1900,21,34,8,1,64,129,610,456,3,1198,1262,
Metropolitan,DeKalb,3405,31,126,53,2,212,168,1322,736,5,2231,2443,
Oakhurst,DeKalb,2398,50,99,58,0,207,93,1016,711,3,1823,2030,
Oak View Elem,DeKalb,5011,13,58,24,0,95,354,1697,747,10,2808,2903,
Ponce de Leon,DeKalb,3766,56,110,135,0,301,97,873,1534,12,2516,2817,
Piney Grove,DeKalb,2018,17,44,16,0,77,152,506,341,5,1004,1081,
Terry Mill,DeKalb,2808,23,55,21,1,100,219,943,599,4,1765,1865,
Toney Elem,DeKalb,1729,14,20,17,1,52,146,450,354,3,953,1005,
Wadsworth,DeKalb,3159,5,8,8,0,21,67,252,220,1,540,561,
Winnona Park,DeKalb,2020,31,119,67,0,217,38,810,570,1,1419,1636,
Woodward,DeKalb,3193,87,300,211,2,600,117,862,731,1,1711,2311,
