Precinct,County,Registered Voters,Irvin J. Johnson (I) (Dem)_Election Day Votes,Irvin J. Johnson (I) (Dem)_Advanced Voting Votes,Irvin J. Johnson (I) (Dem)_Absentee by Mail Votes,Irvin J. Johnson (I) (Dem)_Provisional Votes,Irvin J. Johnson (I) (Dem)_Choice Total,Total,
Allgood Elem,DeKalb,2858,256,903,613,3,1775,1775,
Ashford Park Elem,DeKalb,2432,192,778,450,1,1421,1421,
Austin,DeKalb,2538,205,804,542,2,1553,1553,
Avondale,DeKalb,2906,298,990,771,1,2060,2060,
Austin Drive,DeKalb,2536,203,639,454,14,1310,1310,
Ashford Dunwoody Rd,DeKalb,2966,176,1093,601,5,1875,1875,
Ashford Parkside,DeKalb,3664,209,1065,826,6,2106,2106,
Avondale High,DeKalb,3151,133,1156,914,4,2207,2207,
Boulevard,DeKalb,4675,261,1874,1188,3,3326,3326,
Briar Vista Elem,DeKalb,2965,199,863,836,0,1898,1898,
Briarlake Elem,DeKalb,1752,136,538,454,1,1129,1129,
Briarwood,DeKalb,2428,172,811,465,3,1451,1451,
Brockett Elem,DeKalb,2752,179,858,589,6,1632,1632,
Briarcliff,DeKalb,3122,163,794,802,6,1765,1765,
Brockett,DeKalb,2681,236,785,545,7,1573,1573,
Brookhaven,DeKalb,3444,270,1222,665,2,2159,2159,
Browns Mill Elem,DeKalb,3829,315,1478,875,6,2674,2674,
Bouldercrest Road,DeKalb,2004,160,778,357,2,1297,1297,
Bethune Middle,DeKalb,4838,335,1377,975,18,2705,2705,
Burgess Elem,DeKalb,3493,198,1362,858,7,2425,2425,
Columbia Drive,DeKalb,2526,220,588,475,8,1291,1291,
Canby Lane Elem,DeKalb,2004,220,543,433,8,1204,1204,
Columbia Elem,DeKalb,1794,150,332,240,10,732,732,
Cedar Grove Elem,DeKalb,4097,303,1501,785,9,2598,2598,
Chamblee,DeKalb,2231,163,761,408,3,1335,1335,
Candler-Murphey Candler Elem,DeKalb,3712,298,1440,652,6,2396,2396,
Chapel Hill Elem,DeKalb,3349,260,1224,703,7,2194,2194,
Chesnut Elem,DeKalb,2363,222,829,380,1,1432,1432,
Clairemont West,DeKalb,3264,139,1202,1066,4,2411,2411,
Clairmont Road,DeKalb,3223,190,904,934,6,2034,2034,
Clarkston,DeKalb,3878,387,972,440,13,1812,1812,
Clifton,DeKalb,1731,128,532,332,5,997,997,
Columbia Middle,DeKalb,2178,156,612,343,5,1116,1116,
Coan Recreation Center,DeKalb,4230,211,1600,897,4,2712,2712,
Cross Keys High,DeKalb,2260,161,626,504,4,1295,1295,
Crossroads,DeKalb,2898,249,887,632,8,1776,1776,
Candler,DeKalb,3537,251,1015,591,14,1871,1871,
Cedar Grove Middle,DeKalb,1896,134,507,270,4,915,915,
Cedar Grove South,DeKalb,3962,271,1587,752,5,2615,2615,
Covington Hwy,DeKalb,995,53,102,61,6,222,222,
Covington,DeKalb,2376,138,703,368,5,1214,1214,
Clairemont East,DeKalb,3226,112,1144,1137,4,2397,2397,
Coralwood,DeKalb,3153,157,1062,956,3,2178,2178,
Candler Park,DeKalb,4018,119,1726,1232,2,3079,3079,
Clarkston Community Center,DeKalb,2495,226,617,387,8,1238,1238,
Chamblee 2,DeKalb,3137,169,1187,626,0,1982,1982,
Doraville North,DeKalb,3065,319,789,464,6,1578,1578,
Doraville South,DeKalb,1255,131,330,214,2,677,677,
Dresden Elem,DeKalb,5141,404,1418,956,6,2784,2784,
Decatur,DeKalb,1937,87,891,485,1,1464,1464,
Dunaire Elem,DeKalb,2268,193,638,435,7,1273,1273,
Dunwoody,DeKalb,3003,175,994,584,7,1760,1760,
Dunwoody 2,DeKalb,2044,109,701,391,3,1204,1204,
Druid Hills High,DeKalb,2725,136,666,647,2,1451,1451,
Dunwoody Library,DeKalb,2570,91,933,504,2,1530,1530,
East Lake,DeKalb,4139,238,1570,920,7,2735,2735,
Embry Hills,DeKalb,1721,108,522,426,0,1056,1056,
Evansdale Elem,DeKalb,3441,258,1068,734,4,2064,2064,
Emory South,DeKalb,3241,195,1054,894,7,2150,2150,
Emory Road,DeKalb,2290,126,645,430,7,1208,1208,
Fairington Elem,DeKalb,5455,447,1591,665,18,2721,2721,
Fernbank Elem,DeKalb,2125,124,705,710,1,1540,1540,
Flat Shoals Elem,DeKalb,2409,201,647,421,9,1278,1278,
Flat Shoals Parkway,DeKalb,3449,205,1314,749,4,2272,2272,
Flat Rock Elem,DeKalb,3142,259,1347,541,6,2153,2153,
Flat Shoals,DeKalb,2649,191,655,458,7,1311,1311,
Flakes Mill Fire Station,DeKalb,2103,122,756,425,7,1310,1310,
Flat Shoals Library,DeKalb,2788,245,734,422,3,1404,1404,
Freedom Middle,DeKalb,3227,294,880,558,10,1742,1742,
Glennwood,DeKalb,2715,87,883,803,6,1779,1779,
Glenhaven,DeKalb,1880,223,481,324,3,1031,1031,
Gresham Road,DeKalb,3601,220,1180,787,16,2203,2203,
Georgetown Sq,DeKalb,4155,271,1395,647,7,2320,2320,
Glenwood Road,DeKalb,2293,204,555,406,4,1169,1169,
Hambrick Elem,DeKalb,3776,308,1110,656,11,2085,2085,
Hawthorne Elem,DeKalb,3884,296,1232,700,6,2234,2234,
Henderson Mill,DeKalb,3104,185,998,709,2,1894,1894,
Huntley Hills Elem,DeKalb,3508,325,1202,540,5,2072,2072,
Hugh Howell,DeKalb,1773,157,570,353,1,1081,1081,
Harris-Narvie J Harris Elem,DeKalb,4031,183,1618,784,10,2595,2595,
Harris-Margaret Harris ED,DeKalb,1462,132,496,307,4,939,939,
Idlewood Elem,DeKalb,2472,229,754,435,8,1426,1426,
Indian Creek,DeKalb,2318,177,513,374,12,1076,1076,
Johnson Estates,DeKalb,1600,49,534,541,0,1124,1124,
Jolly Elem,DeKalb,3679,272,930,643,15,1860,1860,
Kelley Lake Elem,DeKalb,3015,277,776,576,3,1632,1632,
Kingsley Elem,DeKalb,2490,174,722,579,9,1484,1484,
Kelley Chapel Road,DeKalb,1337,126,464,320,1,911,911,
Knollwood,DeKalb,2546,262,668,466,10,1406,1406,
Kittredge Elem,DeKalb,2161,134,755,487,4,1380,1380,
Lakeside High,DeKalb,3216,217,1059,728,0,2004,2004,
Lavista Road,DeKalb,2223,143,589,637,3,1372,1372,
Lavista,DeKalb,3223,219,888,644,8,1759,1759,
Lithonia,DeKalb,1730,243,401,215,2,861,861,
Lin-Mary Lin Elem,DeKalb,3009,139,1094,895,8,2136,2136,
Lithonia High,DeKalb,3610,353,1087,540,13,1993,1993,
Livsey Elem,DeKalb,1350,81,491,309,0,881,881,
Miller-Eldridge L Miller Elem 3455,DeKalb,309,955,712,7,1983,1983,,
McNair High,DeKalb,4160,279,1436,949,7,2671,2671,
Marbut Elem,DeKalb,4234,325,1424,632,19,2400,2400,
McNair,DeKalb,2794,184,832,603,6,1625,1625,
McLendon,DeKalb,3607,194,1051,886,10,2141,2141,
McWilliams,DeKalb,2517,150,976,555,4,1685,1685,
Medlock,DeKalb,2208,151,713,676,2,1542,1542,
Midvale Elem,DeKalb,2747,166,862,676,4,1708,1708,
Miller Grove,DeKalb,4747,353,1402,689,14,2458,2458,
Montclair Elem,DeKalb,2194,221,659,239,8,1127,1127,
Montreal,DeKalb,2586,208,830,520,2,1560,1560,
Meadowview,DeKalb,3511,230,1006,765,11,2012,2012,
Memorial South,DeKalb,3138,255,715,387,18,1375,1375,
Midway,DeKalb,3139,179,756,627,7,1569,1569,
