Precinct,County,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,
Marbut Elem,DeKalb,4234,325,1416,633,10,2384,2384,
Princeton Elem,DeKalb,2376,165,847,446,0,1458,1458,
Panola Road,DeKalb,2884,19,138,83,0,240,240,
Redan Elem,DeKalb,3020,206,1156,584,3,1949,1949,
Redan-Trotti Library,DeKalb,3990,274,1270,747,14,2305,2305,
Redan Road,DeKalb,2932,229,903,512,1,1645,1645,
Stephenson Middle,DeKalb,3822,301,1402,780,0,2483,2483,
Wynbrooke Elem,DeKalb,3496,289,1325,824,6,2444,2444,
