Precinct,County,Registered Voters,"Hubert Owens, Jr. (Rep)_Election Day Votes","Hubert Owens, Jr. (Rep)_Advanced Voting Votes","Hubert Owens, Jr. (Rep)_Absentee by Mail Votes","Hubert Owens, Jr. (Rep)_Provisional Votes","Hubert Owens, Jr. (Rep)_Choice Total",Dar'Shun Kendrick (I) (Dem)_Election Day Votes,Dar'Shun Kendrick (I) (Dem)_Advanced Voting Votes,Dar'Shun Kendrick (I) (Dem)_Absentee by Mail Votes,Dar'Shun Kendrick (I) (Dem)_Provisional Votes,Dar'Shun Kendrick (I) (Dem)_Choice Total,Total,
Princeton Elem,DeKalb,2376,1,0,0,0,1,7,17,9,0,33,34,
Rock Chapel Elem,DeKalb,2910,11,39,21,0,71,213,1103,509,5,1830,1901,
Rockbridge Road,DeKalb,3965,32,61,35,0,128,281,1464,961,5,2711,2839,
Rock Chapel Road,DeKalb,4178,32,112,78,1,223,236,1577,788,11,2612,2835,
South Deshon,DeKalb,3470,23,44,25,0,92,247,1258,624,5,2134,2226,
