Precinct,County,Registered Voters,Debra DeBerry (I) (Dem)_Election Day Votes,Debra DeBerry (I) (Dem)_Advanced Voting Votes,Debra DeBerry (I) (Dem)_Absentee by Mail Votes,Debra DeBerry (I) (Dem)_Provisional Votes,Debra DeBerry (I) (Dem)_Choice Total,Total,
Allgood Elem,DeKalb,2858,253,899,607,4,1763,1763,
Ashford Park Elem,DeKalb,2432,188,762,449,1,1400,1400,
Austin,DeKalb,2538,199,781,527,1,1508,1508,
Avondale,DeKalb,2906,297,988,771,1,2057,2057,
Austin Drive,DeKalb,2536,201,643,451,14,1309,1309,
Ashford Dunwoody Rd,DeKalb,2966,165,1071,600,5,1841,1841,
Ashford Parkside,DeKalb,3664,206,1061,826,6,2099,2099,
Avondale High,DeKalb,3151,131,1163,916,4,2214,2214,
Boulevard,DeKalb,4675,260,1867,1184,3,3314,3314,
Briar Vista Elem,DeKalb,2965,197,864,830,1,1892,1892,
Briarlake Elem,DeKalb,1752,133,538,454,1,1126,1126,
Briarwood,DeKalb,2428,169,793,460,3,1425,1425,
Brockett Elem,DeKalb,2752,173,846,569,6,1594,1594,
Briarcliff,DeKalb,3122,160,788,784,6,1738,1738,
Brockett,DeKalb,2681,231,773,530,6,1540,1540,
Brookhaven,DeKalb,3444,272,1211,653,2,2138,2138,
Browns Mill Elem,DeKalb,3829,313,1474,866,6,2659,2659,
Bouldercrest Road,DeKalb,2004,161,775,353,2,1291,1291,
Bethune Middle,DeKalb,4838,337,1373,951,19,2680,2680,
Burgess Elem,DeKalb,3493,193,1358,852,7,2410,2410,
Columbia Drive,DeKalb,2526,220,586,472,8,1286,1286,
Canby Lane Elem,DeKalb,2004,220,542,429,9,1200,1200,
Columbia Elem,DeKalb,1794,148,335,240,10,733,733,
Cedar Grove Elem,DeKalb,4097,301,1497,770,11,2579,2579,
Chamblee,DeKalb,2231,159,754,403,3,1319,1319,
Candler-Murphey Candler Elem,DeKalb,3712,295,1444,644,7,2390,2390,
Chapel Hill Elem,DeKalb,3349,261,1217,689,7,2174,2174,
Chesnut Elem,DeKalb,2363,224,816,381,1,1422,1422,
Clairemont West,DeKalb,3264,140,1202,1055,4,2401,2401,
Clairmont Road,DeKalb,3223,191,904,925,6,2026,2026,
Clarkston,DeKalb,3878,388,971,432,12,1803,1803,
Clifton,DeKalb,1731,125,534,326,6,991,991,
