Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Allgood Elem,DeKalb,2858,44,71,69,0,184,217,859,569,4,1649,12,16,12,0,40,1873,
Ashford Park Elem,DeKalb,2432,203,611,200,0,1014,71,431,340,1,843,25,31,18,0,74,1931,
Austin,DeKalb,2538,238,629,348,2,1217,45,446,357,1,849,17,29,25,1,72,2138,
Avondale,DeKalb,2906,209,215,151,0,575,199,872,706,1,1778,27,49,38,0,114,2467,
Austin Drive,DeKalb,2536,20,37,33,2,92,177,595,428,14,1214,17,21,11,0,49,1355,
Ashford Dunwoody Rd,DeKalb,2966,204,674,263,4,1145,52,695,460,2,1209,8,38,28,0,74,2428,
Ashford Parkside,DeKalb,3664,182,645,327,1,1155,84,716,625,5,1430,17,51,41,0,109,2694,
Avondale High,DeKalb,3151,54,144,108,0,306,97,1066,880,4,2047,18,44,36,0,98,2451,
Boulevard,DeKalb,4675,57,184,117,1,359,215,1748,1128,3,3094,24,55,34,0,113,3566,
Briar Vista Elem,DeKalb,2965,125,217,158,1,501,126,734,747,0,1607,22,40,35,0,97,2205,
Briarlake Elem,DeKalb,1752,135,228,176,0,539,61,422,368,1,852,15,28,14,0,57,1448,
Briarwood,DeKalb,2428,125,419,154,1,699,86,526,368,2,982,11,31,20,0,62,1743,
