Precinct,County,Registered Voters,Bee Nguyen (I) (Dem)_Election Day Votes,Bee Nguyen (I) (Dem)_Advanced Voting Votes,Bee Nguyen (I) (Dem)_Absentee by Mail Votes,Bee Nguyen (I) (Dem)_Provisional Votes,Bee Nguyen (I) (Dem)_Choice Total,Total,
Boulevard,DeKalb,4675,263,1903,1233,2,3401,3401,
Bouldercrest Road,DeKalb,2004,160,769,357,2,1288,1288,
Burgess Elem,DeKalb,3493,197,1375,889,5,2466,2466,
Cedar Grove Elem,DeKalb,4097,302,1492,775,6,2575,2575,
Coan Recreation Center,DeKalb,4230,209,1621,919,2,2751,2751,
Cedar Grove South,DeKalb,3962,268,1583,737,6,2594,2594,
Candler Park,DeKalb,4018,126,1773,1310,1,3210,3210,
East Lake,DeKalb,4139,16,62,13,0,91,91,
Gresham Road,DeKalb,3601,221,1176,789,13,2199,2199,
Lin-Mary Lin Elem,DeKalb,3009,143,1108,933,6,2190,2190,
McNair High,DeKalb,4160,276,1441,971,4,2692,2692,
Meadowview,DeKalb,3511,223,1000,754,7,1984,1984,
Metropolitan,DeKalb,3405,178,1387,749,7,2321,2321,
Piney Grove,DeKalb,2018,161,534,344,4,1043,1043,
Terry Mill,DeKalb,2808,231,970,591,3,1795,1795,
