Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Allgood Elem,DeKalb,2858,208,758,553,4,1523,63,156,82,0,301,1824,
Ashford Park Elem,DeKalb,2432,232,859,503,1,1595,50,175,50,0,275,1870,
Austin,DeKalb,2538,255,978,680,2,1915,39,104,35,1,179,2094,
Avondale,DeKalb,2906,373,1004,830,1,2208,46,117,61,0,224,2432,
Austin Drive,DeKalb,2536,154,504,378,9,1045,55,137,83,4,279,1324,
Ashford Dunwoody Rd,DeKalb,2966,224,1191,669,4,2088,39,195,75,2,311,2399,
Ashford Parkside,DeKalb,3664,229,1186,900,6,2321,52,193,78,0,323,2644,
Avondale High,DeKalb,3151,135,1073,897,4,2109,28,151,104,0,283,2392,
Boulevard,DeKalb,4675,230,1742,1145,3,3120,54,202,96,0,352,3472,
Briar Vista Elem,DeKalb,2965,225,847,849,1,1922,36,104,62,0,202,2124,
Briarlake Elem,DeKalb,1752,181,606,512,0,1299,24,64,44,0,132,1431,
Briarwood,DeKalb,2428,183,816,474,2,1475,46,149,56,2,253,1728,
Brockett Elem,DeKalb,2752,175,855,620,6,1656,32,151,62,1,246,1902,
Briarcliff,DeKalb,3122,203,833,870,6,1912,42,109,97,1,249,2161,
Brockett,DeKalb,2681,259,782,560,4,1605,57,132,58,1,248,1853,
Brookhaven,DeKalb,3444,315,1261,688,2,2266,63,223,90,0,376,2642,
Browns Mill Elem,DeKalb,3829,251,1187,758,4,2200,67,298,144,2,511,2711,
Bouldercrest Road,DeKalb,2004,127,631,305,2,1065,42,149,55,0,246,1311,
Bethune Middle,DeKalb,4838,271,1099,793,14,2177,66,259,171,7,503,2680,
Burgess Elem,DeKalb,3493,171,1242,808,8,2229,40,155,94,0,289,2518,
Columbia Drive,DeKalb,2526,170,480,381,7,1038,58,109,84,1,252,1290,
Canby Lane Elem,DeKalb,2004,170,414,360,7,951,55,132,73,2,262,1213,
