Precinct,County,Registered Voters,Harold Dennis (Rep)_Election Day Votes,Harold Dennis (Rep)_Advanced Voting Votes,Harold Dennis (Rep)_Absentee by Mail Votes,Harold Dennis (Rep)_Provisional Votes,Harold Dennis (Rep)_Choice Total,Melody M. Maddox (I) (Dem)_Election Day Votes,Melody M. Maddox (I) (Dem)_Advanced Voting Votes,Melody M. Maddox (I) (Dem)_Absentee by Mail Votes,Melody M. Maddox (I) (Dem)_Provisional Votes,Melody M. Maddox (I) (Dem)_Choice Total,Total,
Glennwood,DeKalb,2715,44,118,90,0,252,69,850,790,6,1715,1967,
Glenhaven,DeKalb,1880,39,39,30,0,108,207,467,317,4,995,1103,
Gresham Road,DeKalb,3601,24,60,32,1,117,205,1147,778,15,2145,2262,
Georgetown Sq,DeKalb,4155,146,546,178,2,872,203,1129,581,5,1918,2790,
Glenwood Road,DeKalb,2293,19,38,34,0,91,197,526,385,4,1112,1203,
Hambrick Elem,DeKalb,3776,78,143,97,1,319,267,1038,598,9,1912,2231,
Hawthorne Elem,DeKalb,3884,136,325,158,2,621,225,1111,648,5,1989,2610,
Henderson Mill,DeKalb,3104,106,363,205,1,675,142,823,659,1,1625,2300,
Huntley Hills Elem,DeKalb,3508,143,335,112,1,591,258,1040,493,5,1796,2387,
Hugh Howell,DeKalb,1773,104,218,161,1,484,124,473,316,0,913,1397,
Harris-Narvie J Harris Elem,DeKalb,4031,12,43,16,0,71,172,1592,787,10,2561,2632,
Harris-Margaret Harris ED,DeKalb,1462,54,74,62,1,191,104,452,287,4,847,1038,
Idlewood Elem,DeKalb,2472,87,128,78,1,294,183,704,384,6,1277,1571,
Indian Creek,DeKalb,2318,54,78,62,1,195,142,475,344,11,972,1167,
Johnson Estates,DeKalb,1600,52,151,111,0,314,33,483,512,0,1028,1342,
Jolly Elem,DeKalb,3679,85,160,111,2,358,228,849,598,14,1689,2047,
Kelley Lake Elem,DeKalb,3015,20,35,21,0,76,271,750,573,3,1597,1673,
Kingsley Elem,DeKalb,2490,184,568,294,3,1049,88,457,475,6,1026,2075,
Kelley Chapel Road,DeKalb,1337,8,11,9,0,28,123,462,316,1,902,930,
Knollwood,DeKalb,2546,45,46,16,1,108,238,650,467,10,1365,1473,
Kittredge Elem,DeKalb,2161,133,448,187,2,770,63,533,411,2,1009,1779,
Lakeside High,DeKalb,3216,158,406,264,2,830,142,901,649,0,1692,2522,
Lavista Road,DeKalb,2223,92,179,156,1,428,102,522,618,3,1245,1673,
Lavista,DeKalb,3223,112,236,168,2,518,170,795,591,7,1563,2081,
Lithonia,DeKalb,1730,23,33,16,1,73,227,376,214,2,819,892,
Lin-Mary Lin Elem,DeKalb,3009,63,177,123,2,365,116,1017,860,6,1999,2364,
Lithonia High,DeKalb,3610,18,32,15,0,65,340,1065,537,13,1955,2020,
Livsey Elem,DeKalb,1350,70,206,107,0,383,57,381,275,0,713,1096,
Miller-Eldridge L Miller Elem 3455,DeKalb,39,57,40,0,136,287,929,695,8,1919,2055,,
McNair High,DeKalb,4160,40,79,56,0,175,261,1400,946,7,2614,2789,
Marbut Elem,DeKalb,4234,17,41,15,1,74,312,1397,629,18,2356,2430,
McNair,DeKalb,2794,18,48,17,0,83,172,804,606,6,1588,1671,
McLendon,DeKalb,3607,64,212,120,0,396,160,977,854,10,2001,2397,
McWilliams,DeKalb,2517,16,30,12,0,58,140,959,554,4,1657,1715,
Medlock,DeKalb,2208,74,137,104,0,315,121,650,662,2,1435,1750,
Midvale Elem,DeKalb,2747,160,482,271,0,913,95,659,578,3,1335,2248,
Miller Grove,DeKalb,4747,18,40,19,1,78,338,1376,689,14,2417,2495,
Montclair Elem,DeKalb,2194,66,88,25,0,179,181,613,235,8,1037,1216,
Montreal,DeKalb,2586,74,169,103,1,347,169,757,499,2,1427,1774,
Meadowview,DeKalb,3511,24,36,34,1,95,214,982,753,12,1961,2056,
Memorial South,DeKalb,3138,31,64,26,1,122,236,691,367,17,1311,1433,
Midway,DeKalb,3139,26,65,47,1,139,168,730,610,6,1514,1653,
McNair Academy,DeKalb,1900,18,34,12,1,65,128,609,449,4,1190,1255,
Mount Vernon East,DeKalb,2651,193,660,246,1,1100,81,602,396,3,1082,2182,
Mathis-Bob Mathis Elem,DeKalb,2789,13,36,29,0,78,215,926,698,5,1844,1922,
Mount Vernon West,DeKalb,2303,115,523,187,6,831,47,627,345,4,1023,1854,
Metropolitan,DeKalb,3405,37,115,54,0,206,162,1329,725,9,2225,2431,
Montgomery Elem,DeKalb,2446,159,448,202,2,811,89,606,475,4,1174,1985,
Miller Grove Road,DeKalb,2151,15,32,12,0,59,172,732,503,5,1412,1471,
Midvale Road,DeKalb,1832,43,115,55,0,213,126,596,313,2,1037,1250,
Miller Grove High,DeKalb,3470,14,29,16,0,59,276,963,445,9,1693,1752,
North Decatur,DeKalb,2166,40,72,73,1,186,103,608,492,12,1215,1401,
North Hairston,DeKalb,2329,35,65,41,1,142,205,615,401,6,1227,1369,
Northlake,DeKalb,1509,101,117,110,0,328,87,413,377,1,878,1206,
North Peachtree,DeKalb,1916,77,175,89,2,343,121,442,267,4,834,1177,
Oak Grove Elem,DeKalb,2253,124,258,155,1,538,114,585,561,0,1260,1798,
Oakcliff Elem,DeKalb,2125,91,158,88,1,338,234,386,262,9,891,1229,
Oakhurst,DeKalb,2398,47,79,56,0,182,91,1030,713,2,1836,2018,
