Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Allgood Elem,DeKalb,2858,45,74,65,1,185,210,860,573,4,1647,17,23,22,0,62,1894,
Ashford Park Elem,DeKalb,2432,202,607,208,0,1017,68,425,334,1,828,31,40,25,0,96,1941,
Austin,DeKalb,2538,240,626,358,2,1226,45,440,358,1,844,16,43,19,1,79,2149,
Avondale,DeKalb,2906,212,222,157,0,591,189,862,707,1,1759,34,57,39,0,130,2480,
Austin Drive,DeKalb,2536,19,35,33,2,89,180,593,428,12,1213,17,31,18,1,67,1369,
Ashford Dunwoody Rd,DeKalb,2966,204,698,268,4,1174,53,676,461,2,1192,7,34,27,0,68,2434,
Ashford Parkside,DeKalb,3664,184,649,327,3,1163,81,707,633,3,1424,20,61,45,0,126,2713,
Avondale High,DeKalb,3151,50,147,106,0,303,97,1060,879,4,2040,23,51,48,0,122,2465,
Boulevard,DeKalb,4675,55,183,116,1,355,215,1733,1132,3,3083,30,74,40,0,144,3582,
Briar Vista Elem,DeKalb,2965,128,213,153,1,495,128,740,759,0,1627,22,40,38,0,100,2222,
Briarlake Elem,DeKalb,1752,141,227,181,0,549,56,412,363,1,832,18,33,18,0,69,1450,
Briarwood,DeKalb,2428,121,436,158,1,716,88,521,367,2,978,15,27,20,0,62,1756,
Brockett Elem,DeKalb,2752,71,291,208,1,571,123,685,460,5,1273,20,39,33,1,93,1937,
Briarcliff,DeKalb,3122,153,353,312,4,822,84,603,677,3,1367,21,33,28,0,82,2271,
Brockett,DeKalb,2681,150,244,150,3,547,141,655,447,5,1248,33,40,31,0,104,1899,
Brookhaven,DeKalb,3444,256,741,271,1,1269,95,719,494,2,1310,37,69,31,0,137,2716,
Browns Mill Elem,DeKalb,3829,16,41,36,0,93,289,1423,869,6,2587,17,38,18,0,73,2753,
Bouldercrest Road,DeKalb,2004,11,23,14,0,48,147,743,358,2,1250,6,24,5,0,35,1333,
Bethune Middle,DeKalb,4838,26,63,33,2,124,311,1316,968,17,2612,15,31,16,1,63,2799,
Burgess Elem,DeKalb,3493,43,104,57,2,206,156,1243,858,6,2263,19,69,34,0,122,2591,
Columbia Drive,DeKalb,2526,18,17,18,0,53,209,563,458,7,1237,8,18,13,1,40,1330,
Canby Lane Elem,DeKalb,2004,12,21,24,1,58,208,523,424,8,1163,8,13,12,0,33,1254,
Columbia Elem,DeKalb,1794,5,16,10,0,31,143,306,232,11,692,1,17,8,1,27,750,
Cedar Grove Elem,DeKalb,4097,21,37,23,0,81,273,1438,757,9,2477,19,38,20,0,77,2635,
Chamblee,DeKalb,2231,108,331,98,1,538,92,545,351,2,990,28,45,20,0,93,1621,
Candler-Murphey Candler Elem,DeKalb,3712,29,84,50,0,163,267,1355,623,6,2251,15,34,12,1,62,2476,
Chapel Hill Elem,DeKalb,3349,19,31,18,0,68,243,1167,686,7,2103,13,31,15,0,59,2230,
Chesnut Elem,DeKalb,2363,98,241,92,1,432,166,647,327,1,1141,19,44,14,0,77,1650,
Clairemont West,DeKalb,3264,75,187,177,2,441,99,1099,1014,2,2214,13,45,34,0,92,2747,
Clairmont Road,DeKalb,3223,99,196,209,1,505,134,762,843,5,1744,12,45,25,0,82,2331,
Clarkston,DeKalb,3878,49,91,43,0,183,334,885,404,12,1635,32,47,22,2,103,1921,
Clifton,DeKalb,1731,9,25,19,1,54,118,507,322,5,952,4,10,12,0,26,1032,
Columbia Middle,DeKalb,2178,13,21,9,0,43,138,583,337,7,1065,8,16,9,0,33,1141,
Coan Recreation Center,DeKalb,4230,36,164,88,1,289,173,1455,866,2,2496,17,75,33,1,126,2911,
Cross Keys High,DeKalb,2260,102,277,157,1,537,85,463,420,3,971,22,28,31,0,81,1589,
Crossroads,DeKalb,2898,18,39,30,0,87,230,836,612,8,1686,8,27,13,0,48,1821,
Candler,DeKalb,3537,37,76,22,1,136,211,940,578,14,1743,23,48,25,0,96,1975,
Cedar Grove Middle,DeKalb,1896,17,19,9,0,45,116,479,261,3,859,7,11,6,1,25,929,
Cedar Grove South,DeKalb,3962,18,51,37,0,106,248,1530,720,6,2504,18,34,17,0,69,2679,
Covington Hwy,DeKalb,995,5,4,2,0,11,46,92,59,6,203,4,6,3,0,13,227,
Covington,DeKalb,2376,41,66,42,0,149,99,645,335,6,1085,20,33,20,0,73,1307,
Clairemont East,DeKalb,3226,63,213,166,3,445,67,1002,1076,1,2146,11,58,31,0,100,2691,
Coralwood,DeKalb,3153,114,394,279,3,790,74,816,839,1,1730,28,48,43,1,120,2640,
Candler Park,DeKalb,4018,53,196,133,0,382,76,1568,1233,2,2879,21,76,38,0,135,3396,
Clarkston Community Center,DeKalb,2495,53,97,53,1,204,178,565,358,9,1110,28,27,26,0,81,1395,
Chamblee 2,DeKalb,3137,132,570,225,0,927,84,792,509,0,1385,17,85,36,0,138,2450,
Doraville North,DeKalb,3065,125,195,119,4,443,233,653,379,5,1270,28,43,34,0,105,1818,
Doraville South,DeKalb,1255,66,104,58,2,230,89,268,185,2,544,8,21,13,0,42,816,
Dresden Elem,DeKalb,5141,189,476,239,2,906,271,1126,814,6,2217,35,67,62,0,164,3287,
Decatur,DeKalb,1937,29,104,38,0,171,66,823,477,1,1367,11,27,21,0,59,1597,
Dunaire Elem,DeKalb,2268,30,76,56,2,164,167,581,397,5,1150,16,29,14,0,59,1373,
Dunwoody,DeKalb,3003,113,462,211,1,787,97,704,495,6,1302,14,60,19,1,94,2183,
Dunwoody 2,DeKalb,2044,133,516,230,3,882,28,437,292,2,759,10,38,9,0,57,1698,
Druid Hills High,DeKalb,2725,84,135,141,1,361,97,578,600,2,1277,10,19,17,0,46,1684,
Dunwoody Library,DeKalb,2570,101,821,322,1,1245,27,489,319,1,836,12,44,25,0,81,2162,
East Lake,DeKalb,4139,50,178,74,1,303,194,1443,888,7,2532,25,69,28,0,122,2957,
Embry Hills,DeKalb,1721,64,241,147,0,452,67,402,359,0,828,8,41,20,0,69,1349,
Evansdale Elem,DeKalb,3441,146,410,250,1,807,150,807,613,3,1573,28,48,24,1,101,2481,
Emory South,DeKalb,3241,122,247,168,0,537,117,887,814,6,1824,17,48,43,0,108,2469,
Emory Road,DeKalb,2290,40,72,72,1,185,100,591,402,6,1099,8,10,8,1,27,1311,
Fairington Elem,DeKalb,5455,23,36,34,0,93,413,1527,635,18,2593,21,46,13,1,81,2767,
Fernbank Elem,DeKalb,2125,86,166,167,3,422,74,600,687,1,1362,12,18,14,0,44,1828,
Flat Shoals Elem,DeKalb,2409,13,27,10,0,50,193,605,410,7,1215,9,19,6,2,36,1301,
Flat Shoals Parkway,DeKalb,3449,20,52,13,0,85,182,1272,747,5,2206,14,32,11,0,57,2348,
Flat Rock Elem,DeKalb,3142,20,47,14,0,81,236,1287,529,5,2057,13,30,10,2,55,2193,
Flat Shoals,DeKalb,2649,15,17,12,1,45,171,630,453,7,1261,13,19,9,0,41,1347,
Flakes Mill Fire Station,DeKalb,2103,6,28,22,0,56,115,719,416,7,1257,6,23,9,0,38,1351,
Flat Shoals Library,DeKalb,2788,13,21,6,0,40,225,697,419,2,1343,12,25,8,1,46,1429,
Freedom Middle,DeKalb,3227,49,61,55,0,165,256,808,529,11,1604,16,37,18,0,71,1840,
Glennwood,DeKalb,2715,37,129,98,1,265,63,804,769,5,1641,14,35,25,0,74,1980,
Glenhaven,DeKalb,1880,38,38,38,0,114,203,460,298,4,965,13,16,10,0,39,1118,
Gresham Road,DeKalb,3601,17,55,39,1,112,192,1098,747,15,2052,22,58,32,1,113,2277,
Georgetown Sq,DeKalb,4155,158,591,196,5,950,172,1016,536,4,1728,24,74,32,0,130,2808,
Glenwood Road,DeKalb,2293,24,39,34,0,97,183,514,384,3,1084,12,15,9,1,37,1218,
Hambrick Elem,DeKalb,3776,71,137,104,1,313,255,1010,579,9,1853,25,50,22,2,99,2265,
Hawthorne Elem,DeKalb,3884,146,345,166,2,659,205,1032,623,5,1865,23,66,35,0,124,2648,
Henderson Mill,DeKalb,3104,114,402,266,0,782,120,744,583,2,1449,16,60,27,0,103,2334,
Huntley Hills Elem,DeKalb,3508,146,358,140,0,644,229,972,456,3,1660,25,53,30,3,111,2415,
Hugh Howell,DeKalb,1773,107,226,194,1,528,109,447,272,0,828,15,24,19,0,58,1414,
Harris-Narvie J Harris Elem,DeKalb,4031,14,36,20,0,70,164,1558,775,10,2507,8,39,16,0,63,2640,
Harris-Margaret Harris ED,DeKalb,1462,56,80,66,1,203,93,435,282,4,814,12,21,14,0,47,1064,
Idlewood Elem,DeKalb,2472,85,142,94,1,322,169,690,361,7,1227,19,19,20,0,58,1607,
Indian Creek,DeKalb,2318,46,75,62,1,184,138,469,334,9,950,15,33,18,3,69,1203,
Johnson Estates,DeKalb,1600,52,167,142,0,361,24,444,483,0,951,9,26,21,0,56,1368,
Jolly Elem,DeKalb,3679,87,170,112,2,371,217,849,576,14,1656,18,38,34,2,92,2119,
Kelley Lake Elem,DeKalb,3015,21,32,29,0,82,262,730,564,3,1559,11,28,13,0,52,1693,
Kingsley Elem,DeKalb,2490,196,603,352,3,1154,59,386,392,6,843,20,38,27,0,85,2082,
Kelley Chapel Road,DeKalb,1337,15,12,9,0,36,108,447,314,1,870,6,10,3,0,19,925,
Knollwood,DeKalb,2546,40,42,11,0,93,228,634,459,9,1330,17,20,14,2,53,1476,
Kittredge Elem,DeKalb,2161,134,486,232,1,853,45,461,357,2,865,17,44,20,0,81,1799,
Lakeside High,DeKalb,3216,167,444,310,3,924,120,833,574,0,1527,23,54,43,0,120,2571,
