Precinct,County,Registered Voters,Sandra Givens Scott (I) (Dem)_Election Day Votes,Sandra Givens Scott (I) (Dem)_Advanced Voting Votes,Sandra Givens Scott (I) (Dem)_Absentee by Mail Votes,Sandra Givens Scott (I) (Dem)_Provisional Votes,Sandra Givens Scott (I) (Dem)_Choice Total,Total,
Swan Lake,Henry,3642,150,632,247,1,1030,1030,
Shakerag,Henry,4047,255,1715,699,0,2669,2669,
Ellenwood,Henry,4275,197,1828,798,1,2824,2824,
Lighthouse,Henry,3693,228,1324,525,0,2077,2077,
